Unnamed: 0,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290,full_promt
858,2021,504,MAR,170,ar,2,24,1,170,6,0,0,1,9,3,4,2,5,504005,إنه عام 2021. عمرك هو 24. أنتِ امرأة. .  أعلى مستوى تعليمي حققته هو تعليم الطفولة المبكرة / لا يوجد تعليم. لديك مستوى دخل متوسط.مجموعتك المهنية هي عامل زراعي (على سبيل المثال: عامل مزرعة، سائق جرار).قطاع العمل الذي تعمل فيه هو منظمة غير ربحية خاصة.تصنف نفسك على أنك تنتمي إلى الطبقة العاملة.وضعك الاجتماعي الحالي هو أعزب.عدد الأطفال لديك 0. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/مجموعة عرقية هو عربي.أنت تتحدث اللغة العربية في المنزل.
859,2020,417,KGZ,2310,ky,2,31,2,2310,1,2,7,3,3,1,2,3,5,417001,"Бул 2020-жыл. Сиздин курагыңыз 31. Сиз аялсыз. Сиз Кыргызстанда жашайсыз. Сиз жетишкен билимдин эң жогорку деңгээли магистр же ага барабар. Сиздин киреше деңгээлиңиз жогору.Сиздин кесиптик тобуңуз кеңсе кызматкерлери (мисалы: катчы, катчы кызматкер, кеңсе менеджери, мамлекеттик кызматкер, эсепчи).Сиз иштеген иш тармагы - өкмөт же мамлекеттик мекеме.Сиз өзүңүздү жогорку орто класска кирем деп эсептейсиз.Учурдагы нике абалыңыз - үйлөнгөн/турмушка чыккан.Сизде канча бала бар 2. Сиздин диний конфессияңыз мусулман.nanСиз үйдө кыргыз тилинде сүйлөйсүз."
860,2020,558,NIC,1270,es,1,35,2,1270,2,3,1,1,4,2,4,2,1,558001,"Es 2020. Tu edad es 35. Eres un hombre. Vives en Nicaragua. El nivel más alto de educación que has alcanzado es la educación primaria. Tienes un nivel de ingresos medio.Tu grupo ocupacional es ventas (por ejemplo: gerente de ventas, propietario de tienda, asistente de tienda, agente de seguros, comprador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase trabajadora.Su estado civil actual es convivir como casados.El número de hijos que tienes 3. Tu denominación religiosa es católica romana.nanHablas español en casa."
861,2018,630,PRI,1270,es,2,36,2,1270,1,2,7,3,1,2,2,-2,-2,-2,"Es 2018. Tu edad es 36. Eres una mujer. Vives en Puerto Rico. El nivel más alto de educación que has alcanzado es máster o equivalente. nanTu grupo ocupacional es profesional y técnico (por ejemplo: médico, profesor, ingeniero, artista, contador, enfermero).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media alta.Su estado civil actual es casado.El número de hijos que tienes 2. nanNoneHablas español en casa."
862,2020,702,SGP,1240,en,2,57,3,2870,3,1,5,3,2,2,4,2,7,702004,"It is 2020. Your age is 57. You are a woman. You live in Singapore. The highest level of education you have achieved is short-cycle tertiary education You have a medium income level.Your occupational group is higher administrative (for example: banker, executive in big business, high government official, union official).Sector of employment you work in is private business or industry.You classify yourself as belonging to working class.Your current marital status is divorced.The number of children you have 1. Your religious denomination is Buddhist.Your racial belonging/ethnic group is Chinese.You speak English language at home."
863,2018,36,AUS,1240,en,1,83,3,1240,6,0,1,1,-2,-2,-2,-2,-2,-2,It is 2018. Your age is 83. You are a man. You live in Australia. The highest level of education you have achieved is primary education nannannannanYour current marital status is single.The number of children you have 0. nanNoneYou speak English language at home.
864,2018,792,TUR,4370,tr,2,37,2,-4,1,7,0,1,0,-3,4,2,5,-5,"2018 yılı. Yaşınız 37. Bir kadınsın. Türkiye'de yaşıyorsun. Elde ettiğiniz en yüksek eğitim seviyesi okul öncesi eğitim / eğitim yok. Orta gelir seviyesine sahipsiniz.Hiç işin olmadı.Çalışma sektörünüz hakkında bir şey söyleyemezsiniz ya da hiç işiniz olmadı.""Kendinizi işçi sınıfına ait olarak sınıflandırıyorsunuz.""Mevcut medeni durumunuz evli.Sahip olduğunuz çocuk sayısı 7. Dini mezhebiniz Müslümandır.NoneEvde Türkçe konuşuyorsunuz."
865,2020,417,KGZ,3630,ru,1,28,1,3630,1,0,7,3,2,2,5,1,3,417003,"Сейчас 2020 год. Ваш возраст - 28. Вы мужчина. Вы живете в Кыргызстане. Наивысший уровень образования, который вы достигли, - это магистр или эквивалент. У вас низкий уровень дохода.Ваша профессиональная группа - высшее административное звено (например: банкир, руководитель крупного бизнеса, высокопоставленный государственный чиновник, профсоюзный деятель).Сектор занятости, в котором вы работаете, - это частный бизнес или промышленность.Вы относите себя к низшему классу.Ваше текущее семейное положение — женат/замужем.Количество ваших детей 0. Ваше религиозное вероисповедание — православное (русское, греческое или другое).nanВы говорите на русском языке дома."
866,2020,124,CAN,1400,fr,1,64,3,1400,1,2,4,2,3,1,2,2,0,124001,"C'est 2020. Votre âge est 64. Vous êtes un homme. Vous vivez au Canada. Le niveau d'éducation le plus élevé que vous avez atteint est l'enseignement postsecondaire non tertiaire. Vous avez un revenu moyen.Votre groupe professionnel est administratif (par exemple : secrétaire, employé de bureau, gestionnaire de bureau, fonctionnaire, comptable).Secteur d'emploi dans lequel vous travaillez : gouvernement ou institution publique.Vous vous classez comme appartenant à la classe moyenne supérieure.Votre statut matrimonial actuel est marié.Le nombre d'enfants que vous avez 2. Vous n'appartenez à aucune confession religieuse.nanVous parlez français à la maison."
867,2018,360,IDN,1890,id,2,41,2,2030,1,1,2,1,5,2,3,1,5,360004,"Ini tahun 2018. Usia Anda adalah 41. Anda adalah seorang wanita. Anda tinggal di Indonesia. Tingkat pendidikan tertinggi yang telah Anda capai adalah pendidikan menengah pertama. Anda memiliki tingkat pendapatan yang rendah.Kelompok pekerjaan Anda adalah layanan (misalnya: pemilik restoran, petugas polisi, pelayan, tukang cukur, pengasuh).Sektor pekerjaan Anda adalah bisnis atau industri swasta.Anda mengklasifikasikan diri Anda sebagai bagian dari kelas menengah ke bawah.Status pernikahan Anda saat ini adalah menikah.Jumlah anak yang Anda miliki 1. Denominasi agama Anda adalah Muslim.nanAnda berbicara bahasa Indonesia di rumah."
868,2018,368,IRQ,170,ar,2,21,1,170,6,0,3,2,0,-3,5,1,5,368001,إنه عام 2018. عمرك هو 21. أنتِ امرأة. أنت تعيش في العراق. أعلى مستوى تعليمي حققته هو التعليم الثانوي العالي. لديك مستوى دخل منخفض.لم يكن لديك وظيفة أبدًا.لا يمكنك الإفصاح عن أي شيء يتعلق بقطاع عملك أو أنك لم تعمل من قبل.تصنف نفسك على أنك تنتمي إلى الطبقة الدنيا.وضعك الاجتماعي الحالي هو أعزب.عدد الأطفال لديك 0. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/المجموعة العرقية التي تنتمي إليها هي عربية.أنت تتحدث اللغة العربية في المنزل.
869,2017,840,USA,1240,en,1,65,3,1240,1,2,7,3,1,2,2,3,2,840001,"It is 2017. Your age is 65. You are a man. You live in United States. The highest level of education you have achieved is master or equivalent You have a high income level.Your occupational group is professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse).Sector of employment you work in is private business or industry.You classify yourself as belonging to upper middle class.Your current marital status is married.The number of children you have 2. Your religious denomination is Protestant.Your racial belonging/ethnic group is White, non-Hispanic.You speak English language at home."
870,2020,702,SGP,1240,en,2,39,2,9060,6,0,7,3,1,1,3,2,7,702004,"It is 2020. Your age is 39. You are a woman. You live in Singapore. The highest level of education you have achieved is master or equivalent You have a medium income level.Your occupational group is professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse).Sector of employment you work in is government or public institution.You classify yourself as belonging to lower middle class.Your current marital status is single.The number of children you have 0. Your religious denomination is Buddhist.Your racial belonging/ethnic group is Chinese.You speak English language at home."
871,2018,764,THA,4230,th,2,28,1,3992,6,0,2,1,5,-2,5,2,7,764001,มันคือปี 2018 อายุของคุณคือ 28. คุณเป็นผู้หญิง คุณอาศัยอยู่ในประเทศไทย ระดับการศึกษาสูงสุดที่คุณสำเร็จคือมัธยมศึกษาตอนต้น คุณมีรายได้ในระดับปานกลางกลุ่มอาชีพของคุณคือบริการ (เช่น เจ้าของร้านอาหาร เจ้าหน้าที่ตำรวจ พนักงานเสิร์ฟ ช่างตัดผม ผู้ดูแล)nanคุณจัดตัวเองว่าเป็นชนชั้นล่างสถานภาพการสมรสปัจจุบันของคุณคือโสดจำนวนบุตรที่คุณมี 0. นิกายทางศาสนาของคุณคือพุทธnanคุณพูดภาษาไทยที่บ้าน
872,2018,818,EGY,170,ar,1,27,1,170,6,0,3,2,4,2,4,2,5,818001,إنه عام 2018. عمرك هو 27. أنت رجل. أنت تعيش في مصر. أعلى مستوى تعليمي حققته هو التعليم الثانوي العالي. لديك مستوى دخل متوسط.مجموعة مهنتك هي المبيعات (على سبيل المثال: مدير مبيعات، صاحب متجر، مساعد متجر، وكيل تأمين، مشتري).قطاع العمل الذي تعمل فيه هو الأعمال أو الصناعة الخاصة.تصنف نفسك على أنك تنتمي إلى الطبقة العاملة.وضعك الاجتماعي الحالي هو أعزب.عدد الأطفال لديك 0. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/مجموعة عرقية هو عربي.أنت تتحدث اللغة العربية في المنزل.
873,2022,858,URY,1270,es,1,77,3,1270,1,3,1,1,9,-2,-1,1,0,858100,"Es 2022. Tu edad es 77. Eres un hombre. Vives en Uruguay. El nivel más alto de educación que has alcanzado es la educación primaria. Tienes un nivel de ingresos bajo.Tu grupo ocupacional es trabajador agrícola (por ejemplo: jornalero, conductor de tractor).nannanSu estado civil actual es casado.El número de hijos que tienes 3. No perteneces a ninguna denominación religiosa.nanHablas español en casa."
874,2018,276,DEU,1530,de,1,64,3,1530,5,1,6,3,3,-2,3,2,1,-4,"Es ist 2018. Ihr Alter ist 64. Du bist ein Mann. Du lebst in Deutschland. Der höchste Bildungsabschluss, den Sie erreicht haben, ist ein Bachelor oder ein gleichwertiger Abschluss. Sie haben ein mittleres Einkommensniveau.Ihre Berufsgruppe ist kaufmännisch (zum Beispiel: Sekretär/in, Sachbearbeiter/in, Büroleiter/in, Beamter/Beamtin, Buchhalter/in).nanSie ordnen sich der unteren Mittelschicht zu.Ihr aktueller Familienstand ist verwitwet.Die Anzahl der Kinder, die Sie haben 1. Ihre Konfession ist römisch-katholisch.NoneSie sprechen zu Hause Deutsch."
875,2019,446,MAC,2870,zh,1,-5,-5,790,1,0,6,3,3,1,3,3,0,446006,这是2019年。 您的年龄是 -5. 你是一个男人。 你住在澳门。 您所获得的最高学历是学士或同等学历。 您的收入水平很高。您的职业类别是文职（例如：秘书、职员、办公室经理、公务员、簿记员）。您工作的就业领域是政府或公共机构。您将自己归类为中下阶层。您的当前婚姻状况是已婚。您有多少个孩子 0. 您不属于任何宗教教派。nan你在家说普通话。
876,2017,840,USA,1240,en,1,22,1,1240,6,0,5,3,-3,2,3,2,0,840001,"It is 2017. Your age is 22. You are a man. You live in United States. The highest level of education you have achieved is short-cycle tertiary education You have a medium income level.nanSector of employment you work in is private business or industry.You classify yourself as belonging to lower middle class.Your current marital status is single.The number of children you have 0. You do not belong to any religious denomination.Your racial belonging/ethnic group is White, non-Hispanic.You speak English language at home."
877,2018,764,THA,4230,th,2,28,1,1260,6,0,3,2,8,2,4,1,7,764001,มันคือปี 2018 อายุของคุณคือ 28. คุณเป็นผู้หญิง คุณอาศัยอยู่ในประเทศไทย ระดับการศึกษาสูงสุดที่คุณสำเร็จคือการศึกษาระดับมัธยมศึกษาตอนปลาย คุณมีรายได้ต่ำกลุ่มอาชีพของคุณคือแรงงานไร้ฝีมือ (เช่น คนงาน แบกหาม คนงานโรงงานไร้ฝีมือ พนักงานทำความสะอาด)ภาคส่วนการจ้างงานที่คุณทำงานอยู่คือธุรกิจเอกชนหรืออุตสาหกรรมคุณจัดตัวเองว่าเป็นชนชั้นแรงงานสถานภาพการสมรสปัจจุบันของคุณคือโสดจำนวนบุตรที่คุณมี 0. นิกายทางศาสนาของคุณคือพุทธnanคุณพูดภาษาไทยที่บ้าน
878,2020,124,CAN,1240,en,2,59,3,1240,1,5,5,3,3,1,2,2,2,124001,"It is 2020. Your age is 59. You are a woman. You live in Canada. The highest level of education you have achieved is short-cycle tertiary education You have a medium income level.Your occupational group is clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper).Sector of employment you work in is government or public institution.You classify yourself as belonging to upper middle class.Your current marital status is married.The number of children you have 5. Your religious denomination is Protestant.Your racial belonging/ethnic group is Caucasian (White).You speak English language at home."
879,2020,320,GTM,1270,es,2,35,2,1270,2,2,1,1,4,2,3,2,2,320003,"Es 2020. Tu edad es 35. Eres una mujer. Vives en Guatemala. El nivel más alto de educación que has alcanzado es la educación primaria. Tienes un nivel de ingresos medio.Tu grupo ocupacional es ventas (por ejemplo: gerente de ventas, propietario de tienda, asistente de tienda, agente de seguros, comprador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es convivir como casados.El número de hijos que tienes 2. Tu denominación religiosa es protestante.nanHablas español en casa."
880,2018,156,CHN,2870,zh,2,40,2,9060,1,3,2,1,5,-5,3,1,7,156001,这是2018年。 您的年龄是 40. 你是一个女人。 你住在中国。 您达到的最高教育水平是初中教育。 您的收入水平较低。您的职业类别是服务业（例如：餐馆老板、警察、服务员、理发师、护理员）。nan您将自己归类为中下阶层。您的当前婚姻状况是已婚。您有多少个孩子 3. 您的宗教信仰是佛教。nan你在家说普通话。
881,2018,368,IRQ,170,ar,2,22,1,2420,6,0,5,3,3,1,2,3,5,368002,إنه عام 2018. عمرك هو 22. أنتِ امرأة. أنت تعيش في العراق. أعلى مستوى تعليمي حققته هو التعليم العالي قصير الدورة. لديك مستوى دخل مرتفع.مجموعة وظيفتك هي الأعمال المكتبية (على سبيل المثال: سكرتير، كاتب، مدير مكتب، موظف حكومي، محاسب).قطاع العمل الذي تعمل فيه هو الحكومة أو مؤسسة عامة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى العليا.وضعك الاجتماعي الحالي هو أعزب.عدد الأطفال لديك 0. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/مجموعة الإثنية هي كردية.أنت تتحدث اللغة العربية في المنزل.
882,2017,643,RUS,3630,ru,2,64,3,3630,1,3,5,3,5,2,3,1,3,643001,"Сейчас 2017 год. Ваш возраст - 64. Вы женщина. Вы живёте в Российской Федерации. Наивысший уровень образования, который вы достигли, - это короткий цикл высшего образования. У вас низкий уровень дохода.Ваша профессиональная группа - сфера услуг (например: владелец ресторана, полицейский, официантка, парикмахер, смотритель).Сектор занятости, в котором вы работаете, - это частный бизнес или промышленность.Вы относите себя к нижнему среднему классу.Ваше текущее семейное положение — женат/замужем.Количество ваших детей 3. Ваше религиозное вероисповедание — православное (русское, греческое или другое).nanВы говорите на русском языке дома."
883,2018,360,IDN,1890,id,1,34,2,1890,1,3,6,3,8,2,3,1,2,360999,"Ini tahun 2018. Usia Anda adalah 34. Anda adalah seorang pria. Anda tinggal di Indonesia. Tingkat pendidikan tertinggi yang telah Anda capai adalah sarjana atau setara. Anda memiliki tingkat pendapatan yang rendah.Kelompok pekerjaan Anda adalah pekerja tidak terampil (misalnya: buruh, kuli angkut, pekerja pabrik tidak terampil, petugas kebersihan).Sektor pekerjaan Anda adalah bisnis atau industri swasta.Anda mengklasifikasikan diri Anda sebagai bagian dari kelas menengah ke bawah.Status pernikahan Anda saat ini adalah menikah.Jumlah anak yang Anda miliki 3. Denominasi agama Anda adalah Protestan.nanAnda berbicara bahasa Indonesia di rumah."
884,2018,410,KOR,2390,ko,2,43,2,2390,1,2,5,3,-3,-3,3,1,0,410004,"2018년입니다. 당신의 나이는 43. 당신은 여자입니다. 당신은 한국에 살고 있습니다. 귀하가 달성한 가장 높은 수준의 교육은 단기 고등 교육입니다. 귀하는 소득 수준이 낮습니다.nan귀하의 고용 분야에 대해 아무 말도 할 수 없거나, 직업을 가져본 적이 없습니다.당신은 자신을 하위 중산층에 속한다고 분류합니다.귀하의 현재 결혼 상태는 기혼입니다.자녀 수 2. 당신은 어떤 종교 교파에도 속하지 않습니다.nan당신은 집에서 한국어를 사용합니다."
885,2018,50,BGD,490,bn,1,30,2,490,1,1,1,1,7,2,2,2,5,50006,"এটি ২০১৮ সাল। আপনার বয়স হল 30. তুমি একজন পুরুষ। আপনি বাংলাদেশে থাকেন। আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হল প্রাথমিক শিক্ষা। আপনার আয়ের স্তর মধ্যম।আপনার পেশাগত গোষ্ঠী অর্ধ-কুশলী কর্মী (যেমন: রাজমিস্ত্রি, বাস চালক, ক্যানারি কর্মী, কাঠমিস্ত্রি, শীট মেটাল কর্মী, বেকার)।আপনি যে কর্মসংস্থানের ক্ষেত্রে কাজ করেন তা হলো ব্যক্তিগত ব্যবসা বা শিল্প।আপনি নিজেকে উচ্চ মধ্যবিত্ত শ্রেণীর অন্তর্ভুক্ত হিসেবে শ্রেণীবদ্ধ করেন।আপনার বর্তমান বৈবাহিক অবস্থা বিবাহিত।আপনার কতজন সন্তান আছে 1. আপনার ধর্মীয় সম্প্রদায় মুসলিম।আপনার জাতিগত অন্তর্ভুক্তি/জাতিগত গোষ্ঠী হল বাঙালি।আপনি বাড়িতে বাংলা ভাষায় কথা বলেন।"
886,2017,68,BOL,1270,es,1,25,1,3570,2,1,3,2,7,-2,3,2,1,68002,"Es 2017. Tu edad es 25. Eres un hombre. Vives en Bolivia. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es trabajador semicalificado (por ejemplo: albañil, conductor de autobús, trabajador de conservera, carpintero, trabajador de chapa metálica, panadero).nanTe clasificas como perteneciente a la clase media baja.Su estado civil actual es convivir como casados.El número de hijos que tienes 1. Tu denominación religiosa es católica romana.nanHablas español en casa."
887,2020,417,KGZ,3630,ru,2,29,1,3630,1,3,3,2,7,-1,2,2,5,417999,"Сейчас 2020 год. Ваш возраст - 29. Вы женщина. Вы живете в Кыргызстане. Ваш самый высокий уровень образования — это среднее полное образование. У вас средний уровень дохода.Ваша профессиональная группа — полуквалифицированный работник (например: каменщик, водитель автобуса, рабочий консервного завода, плотник, жестянщик, пекарь).nanВы относите себя к верхнему среднему классу.Ваше текущее семейное положение — женат/замужем.Количество ваших детей 3. Ваша религиозная принадлежность - мусульманин.nanВы говорите на русском языке дома."
888,2023,356,IND,1740,hi,2,50,3,3540,1,2,0,1,0,-1,2,3,9,356019,यह 2023 है। आपकी उम्र है 50. आप एक महिला हैं। आप भारत में रहते हैं। आपकी प्राप्त की गई शिक्षा का उच्चतम स्तर प्रारंभिक बाल्यावस्था शिक्षा / कोई शिक्षा नहीं है। आपकी आय का स्तर उच्च है।आपके पास कभी नौकरी नहीं थी।nanआप स्वयं को उच्च मध्यम वर्ग का मानते हैं।आपकी वर्तमान वैवाहिक स्थिति विवाहित है।आपके बच्चों की संख्या 2. nannanआप घर पर हिंदी भाषा बोलते हैं।
889,2020,716,ZWE,3830,sn,1,27,1,3830,1,0,6,3,6,2,5,2,1,716006,"Iri i 2020. Zera rako ndiro ripi? 27. Iwe murume. Unogara muZimbabwe. Chikamu chepamusoro chedzidzo chawakawana ndeche bachelor kana chakafanana. Une mari yepakati.Boka rako rebasa rine hunyanzvi (semuenzaniso: foreman, mugadziri wemotokari, muchina wekudhinda, muvezi, mugadziri wezvishandiso uye anofa, magetsi).Chikamu chebasa raunoshanda mairi ibhizinesi rakazvimirira kana indasitiri.Unozviongorora semunhu ari muboka revapfuuri.Chimiro chako chewanano parizvino chakaroora/chakaroorwa.Huwandu hwevana vaunavo 0. Chitendero chako iRoman Catholic.nanUnotaura mutauro wechiShona kumba."
890,2018,36,AUS,1240,en,2,32,2,1240,2,0,3,2,3,1,2,2,1,36001,"It is 2018. Your age is 32. You are a woman. You live in Australia. The highest level of education you have achieved is upper secondary education You have a medium income level.Your occupational group is clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper).Sector of employment you work in is government or public institution.You classify yourself as belonging to upper middle class.Your current marital status is living together as married.The number of children you have 0. Your religious denomination is Roman Catholic.Your racial belonging/ethnic group is Australian (English speaking).You speak English language at home."
891,2020,124,CAN,1240,en,1,68,3,1240,6,0,6,3,1,2,3,1,0,124001,"It is 2020. Your age is 68. You are a man. You live in Canada. The highest level of education you have achieved is bachelor or equivalent You have a low income level.Your occupational group is professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse).Sector of employment you work in is private business or industry.You classify yourself as belonging to lower middle class.Your current marital status is single.The number of children you have 0. You do not belong to any religious denomination.Your racial belonging/ethnic group is Caucasian (White).You speak English language at home."
892,2018,630,PRI,1270,es,1,64,3,1270,6,-2,3,2,5,1,5,1,1,630013,"Es 2018. Tu edad es 64. Eres un hombre. Vives en Puerto Rico. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos bajo.Tu grupo ocupacional es de servicios (por ejemplo: propietario de restaurante, oficial de policía, camarera, barbero, cuidador).Sector de empleo en el que trabajas es el gobierno o una institución pública.Te clasificas como perteneciente a la clase baja.Su estado civil actual es soltero.El número de hijos que tienes -2. Tu denominación religiosa es católica romana.nanHablas español en casa."
893,2022,858,URY,1270,es,1,52,3,1270,1,1,3,2,6,2,3,2,0,858100,"Es 2022. Tu edad es 52. Eres un hombre. Vives en Uruguay. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es trabajador cualificado (por ejemplo: capataz, mecánico de motores, impresor, costurera, matricero, electricista).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es casado.El número de hijos que tienes 1. No perteneces a ninguna denominación religiosa.nanHablas español en casa."
894,2018,604,PER,1270,es,1,47,2,1270,4,3,3,2,4,2,3,2,1,604013,"Es 2018. Tu edad es 47. Eres un hombre. Vives en Perú. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es ventas (por ejemplo: gerente de ventas, propietario de tienda, asistente de tienda, agente de seguros, comprador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es separado.El número de hijos que tienes 3. Tu denominación religiosa es católica romana.nanHablas español en casa."
895,2020,364,IRN,3490,fa,1,35,2,3490,6,0,6,3,-2,1,5,1,5,364001,سال ۲۰۲۰ است. سن شما چند است؟ 35. شما یک مرد هستید. شما در ایران زندگی می‌کنید. بالاترین سطح تحصیلاتی که به دست آورده‌اید، لیسانس یا معادل آن است. شما درآمد پایینی دارید.nanبخش شغلی که در آن کار می‌کنید دولت یا نهاد عمومی است.شما خود را به عنوان متعلق به طبقه پایین طبقه‌بندی می‌کنید.وضعیت تأهل فعلی شما مجرد است.تعداد فرزندان شما چند نفر است؟ 0. فرقه مذهبی شما مسلمان است.nanشما در خانه به زبان فارسی صحبت می‌کنید.
896,2020,702,SGP,1240,en,1,50,3,1240,1,3,6,3,1,2,4,2,0,702004,"It is 2020. Your age is 50. You are a man. You live in Singapore. The highest level of education you have achieved is bachelor or equivalent You have a medium income level.Your occupational group is professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse).Sector of employment you work in is private business or industry.You classify yourself as belonging to working class.Your current marital status is married.The number of children you have 3. You do not belong to any religious denomination.Your racial belonging/ethnic group is Chinese.You speak English language at home."
897,2018,20,AND,810,ca,1,45,2,810,1,2,7,3,1,2,2,-2,2,20002,"És 2018. La teua edat és 45. Ets un home. Vius a Andorra. El nivell més alt d'educació que has assolit és màster o equivalent. nanEl teu grup ocupacional és professional i tècnic (per exemple: metge, professor, enginyer, artista, comptable, infermer).El sector d'ocupació en què treballes és el negoci privat o la indústria.Et consideres pertanyent a la classe mitjana alta.El teu estat civil actual és casat/casada.El nombre de fills que tens 2. La teua denominació religiosa és protestant.La teua pertinença racial/grup ètnic és negre.Parles valencià a casa."
898,2018,218,ECU,1270,es,2,67,3,1270,1,4,1,1,0,2,2,2,1,218012,Es 2018. Tu edad es 67. Eres una mujer. Vives en Ecuador. El nivel más alto de educación que has alcanzado es la educación primaria. Tienes un nivel de ingresos medio.Nunca tuviste un trabajo.El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media alta.Su estado civil actual es casado.El número de hijos que tienes 4. Tu denominación religiosa es católica romana.nanHablas español en casa.
899,2018,792,TUR,4370,tr,2,58,3,-4,1,4,0,1,0,-3,4,2,5,-5,"2018 yılı. Yaşınız 58. Bir kadınsın. Türkiye'de yaşıyorsun. Elde ettiğiniz en yüksek eğitim seviyesi okul öncesi eğitim / eğitim yok. Orta gelir seviyesine sahipsiniz.Hiç işin olmadı.Çalışma sektörünüz hakkında bir şey söyleyemezsiniz ya da hiç işiniz olmadı.""Kendinizi işçi sınıfına ait olarak sınıflandırıyorsunuz.""Mevcut medeni durumunuz evli.Sahip olduğunuz çocuk sayısı 4. Dini mezhebiniz Müslümandır.NoneEvde Türkçe konuşuyorsunuz."
900,2020,320,GTM,1270,es,2,23,1,1270,6,-2,6,3,1,2,3,3,0,320003,"Es 2020. Tu edad es 23. Eres una mujer. Vives en Guatemala. El nivel más alto de educación que ha alcanzado es licenciatura o equivalente. Tienes un alto nivel de ingresos.Tu grupo ocupacional es profesional y técnico (por ejemplo: médico, profesor, ingeniero, artista, contador, enfermero).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es soltero.El número de hijos que tienes -2. No perteneces a ninguna denominación religiosa.nanHablas español en casa."
901,2022,434,LBY,170,ar,1,50,3,170,1,4,3,2,1,1,4,1,5,434005,إنه عام 2022. عمرك هو 50. أنت رجل. أنت تعيش في ليبيا. أعلى مستوى تعليمي حققته هو التعليم الثانوي العالي. لديك مستوى دخل منخفض.مجموعة وظيفتك هي مهنية وتقنية (على سبيل المثال: طبيب، معلم، مهندس، فنان، محاسب، ممرض).قطاع العمل الذي تعمل فيه هو الحكومة أو مؤسسة عامة.تصنف نفسك على أنك تنتمي إلى الطبقة العاملة.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 4. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/المجموعة العرقية الخاصة بك هو عربي.أنت تتحدث اللغة العربية في المنزل.
902,2019,392,JPN,2020,ja,1,18,1,2020,6,0,3,2,0,-2,3,-1,0,-4,それは2019年です。 あなたの年齢は 18. あなたは男性です。 あなたは日本に住んでいます。 あなたが達成した最高の教育レベルは高等学校教育です。 nanあなたは一度も仕事をしたことがありません。nanあなたは自分を下層中産階級に属すると分類しています。あなたの現在の婚姻状況は独身です。あなたの子供の数 0. あなたはどの宗派にも属していません。Noneあなたは家で日本語を話します。
903,2022,703,SVK,3890,sk,1,65,3,3890,5,2,4,2,2,1,2,3,1,703005,"Je rok 2022. Váš vek je 65. Si muž. Žijete na Slovensku. Najvyššia úroveň vzdelania, ktorú ste dosiahli, je postsekundárne neterciárne vzdelanie. Máte vysokú úroveň príjmu.Vaša pracovná skupina je vyššia administratíva (napríklad: bankár, vedúci pracovník vo veľkom podniku, vysoký vládny úradník, odborový funkcionár).Sektor zamestnania, v ktorom pracujete, je vláda alebo verejná inštitúcia.Klasifikujete sa ako patriaci k vyššej strednej triede.Váš súčasný rodinný stav je vdovec/vdova.Počet detí, ktoré máte 2. Vaše náboženské vyznanie je rímskokatolícke.nanHovoríte doma po slovensky."
