,Unnamed: 0,Q182,Q183,Q184,Q185,Q186,Q189,Q193
1583,,လိင်တူဆက်ဆံခြင်း - 7,ပြည့်တန်ဆာမှု - 3,ကိုယ်ဝန်ဖျက်ချခြင်း - 5,ကွာရှင်းခြင်း - 6,အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း - 6,သူ့ဇနီးကိုရိုက်နှက်ဖို့ - 1,
1584,,3,2,4,6,7,1,5
1585,,1,2,3,5,4,1,3
1586,,5,4,5,6,7,1,3
1587,,7,4,8,9,9,1,6
1588,,3,4,5,5,5,1,4
1589,,5,3,4,6,7,1,4
1590,,1,2,3,5,4,1,3
1591,,3,2,2,5,4,1,3
1592,,3,4,5,6,7,1,4
1593,,5,3,2,4,5,1,3
1594,,4,3,5,7,6,1,5
1595,,1,2,3,5,3,1,2
1596,,3,4,3,5,4,1,4
1597,,4,3,4,5,4,1,3
1598,,5,4,3,6,6,1,2
1599,,8,4,7,9,8,1,7
1600,,3,4,5,6,5,1,4
1601,,1,2,3,5,4,1,3
1602,,5,4,3,5,4,1,3
1603,,3,2,4,6,5,1,4
1604,,1,2,2,5,3,1,3
1605,,6,4,5,7,6,1,5
1606,,3,4,3,5,4,1,3
1607,,1,2,2,3,3,1,2
1608,,3,4,2,5,6,1,2
1609,,1,2,2,5,3,1,3
1610,,1,2,2,4,3,1,2
1611,,5,4,5,6,7,1,6
1612,,Гомосексуализм:,3,Сойкулук:,2,Аборт:,4,Ажырашуу:
1613,,3,4,5,6,6,1,5
1614,,1,2,2,3,3,1,2
1615,,3,4,5,6,5,1,4
1616,,1,2,2,3,3,1,2
1617,,3,4,2,5,6,1,3
1618,,7,3,6,8,8,1,7
1619,,5,4,5,6,6,1,5
1620,,6,4,5,7,8,1,6
1621,,3,2,3,5,4,1,3
1622,,3,2,4,7,3,1,3
1623,,7,5,6,8,9,1,7
1624,,5,4,5,6,7,1,5
1625,,1,2,2,4,3,1,2
1626,,5,4,3,6,7,1,6
1627,,1,2,3,5,3,1,2
1628,,3,4,3,5,6,1,5
1629,,"I'm sorry, but I can't assist with that.",,,,,,
1630,,5,4,5,7,8,1,6
1631,,Гомосексуализм,3,Жезөкшелік,2,Аборт,4,Ажырасу
1632,,5,4,3,6,5,1,4
1633,,5,4,3,6,6,1,2
1634,,3,2,4,6,5,1,5
1635,,6,3,5,7,8,1,6
1636,,3,4,5,6,7,1,4
1637,,3,2,4,5,4,1,3
1638,,3,4,5,6,5,1,4
1639,,1,2,3,5,4,1,3
1640,,5,3,4,7,6,1,5
1641,,1,2,2,4,2,1,3
1642,,5,4,6,7,8,1,5
1643,,4,3,5,6,6,1,4
1644,,3,3,4,6,5,1,4
1645,,3,4,5,6,6,1,5
1646,,7,3,8,9,8,1,6
1647,,3,2,4,6,5,1,4
1648,,3,2,3,5,6,1,4
1649,,3,2,4,6,5,1,3
1650,,6,5,5,7,6,1,5
1651,,6,4,5,7,5,1,4
1652,,4,3,5,6,5,1,4
1653,,3,4,5,6,5,1,4
1654,,6,3,5,7,6,1,5
1655,,3,2,4,5,4,1,3
1656,,8,4,7,8,9,1,7
1657,,3,2,4,6,5,1,4
1658,,"Ibalopo Okunrin si okunrin, obinrin si obinrin: 2",Asewo: 3,Oyun sise: 4,Titu igbeyawo ka: 2,Ibalopo ka to fe ara en: 3,Ki okunrin lu iyawo re: 1,Nini ibalopo laisi idabobo: 4
1659,,2,2,3,5,3,1,2
1660,,3,4,4,6,5,1,4
1661,,4,3,5,7,6,1,4
1662,,1,2,3,6,3,1,2
1663,,1,2,2,5,3,1,3
1664,,3,2,4,6,7,1,5
1665,,1,2,3,6,4,1,3
1666,,5,4,3,5,4,1,3
1667,,1,2,2,5,3,1,3
1668,,5,4,3,6,7,1,2
1669,,3,4,3,5,6,1,5
1670,,1,2,2,4,3,1,3
1671,,7,6,8,9,9,1,5
1672,,1,2,3,7,4,1,3
1673,,3,2,4,5,5,1,4
1674,,3,4,5,6,5,1,4
1675,,2,2,3,5,3,1,2
1676,,1,2,2,5,3,1,2
1677,,1,2,2,5,3,1,2
1678,,2,3,4,3,1,2,
1679,,- လိင်တူဆက်ဆံခြင်း: 7,- ပြည့်တန်ဆာမှု: 3,- ကိုယ်ဝန်ဖျက်ချခြင်း: 4,- ကွာရှင်းခြင်း: 6,- အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း: 5,- သူ့ဇနီးကိုရိုက်နှက်ဖို့: 1,
1680,,3,4,3,5,4,1,4
1681,,3,2,2,5,4,1,3
1682,,5,4,5,7,8,1,6
1683,,6,4,3,5,4,1,3
1684,,လိင်တူဆက်ဆံခြင်း - 5,ပြည့်တန်ဆာမှု - 3,ကိုယ်ဝန်ဖျက်ချခြင်း - 4,ကွာရှင်းခြင်း - 6,အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း - 5,သူ့ဇနီးကိုရိုက်နှက်ဖို့ - 1,
1685,,5,4,3,6,7,1,6
1686,,3,4,5,6,7,1,5
1687,,3,2,5,7,6,1,4
1688,,3,2,4,6,5,1,4
1689,,2,3,2,4,3,1,2
1690,,3,2,3,5,4,1,3
1691,,1. Гомосексуализм,5,2. Сойкулук,4,3. Аборт,5,4. Ажырашуу
1692,,3,2,5,6,5,1,4
1693,,6,5,5,6,7,1,5
1694,,3,4,5,7,6,1,5
1695,,6,4,5,5,6,1,4
1696,,6,4,5,7,6,1,5
1697,,1,2,3,5,3,1,2
1698,,3,4,5,6,5,1,4
1699,,1,2,2,5,3,1,3
1700,,4,3,5,6,5,1,4
1701,,3,4,4,5,6,1,5
1702,,2,3,2,5,3,1,2
1703,,5,4,3,6,4,1,3
1704,,1,2,2,5,3,1,2
1705,,7,5,6,7,8,1,6
1706,,1,1,1,1,1,1,1
1707,,3,2,4,5,4,1,3
1708,,5,4,3,6,5,1,4
1709,,4,3,4,5,6,1,5
1710,,3,4,5,6,5,1,4
1711,,1,2,3,5,4,1,3
1712,,3,4,5,7,6,1,5
1713,,3,4,3,5,6,1,5
1714,,3,2,4,6,5,1,3
1715,,7,5,6,8,7,1,5
1716,,3,2,4,6,5,1,4
1717,,5,4,6,7,8,1,5
1718,,5,3,6,7,6,1,5
1719,,6,4,5,7,8,1,5
1720,,3,2,2,4,3,1,
1721,,5,4,5,6,7,1,6
1722,,1,2,3,4,5,6,
1723,,1,2,2,5,3,1,2
1724,,5,4,6,7,8,1,7
1725,,3,2,2,4,3,1,2
1726,,1,2,2,4,3,1,3
1727,,5,3,4,7,6,1,5
1728,,3,2,4,6,5,1,4
1729,,5,4,6,7,8,1,7
1730,,1,2,3,4,5,1,3
1731,,7,6,7,8,8,1,5
1732,,5,3,2,4,6,1,4
1733,,3,4,5,6,5,1,3
1734,,1,2,2,3,2,1,2
1735,,3,2,4,5,3,1,3
1736,,1. လိင်တူဆက်ဆံခြင်း - 7,2. ပြည့်တန်ဆာမှု - 3,3. ကိုယ်ဝန်ဖျက်ချခြင်း - 5,4. ကွာရှင်းခြင်း - 6,5. အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း - 6,6. သူ့ဇနီးကိုရိုက်နှက်ဖို့ - 1,
1737,,3,2,4,5,6,1,4
1738,,1,2,3,5,4,1,3
1739,,5,3,6,7,8,1,4
1740,,6,4,5,6,5,1,4
1741,,2,2,2,5,3,1,2
1742,,3,4,3,5,4,1,4
1743,,5,4,3,6,6,1,2
1744,,5,4,5,6,6,1,4
1745,,1,2,3,5,4,1,3
1746,,5,4,6,7,6,1,5
1747,,4,3,5,6,7,1,5
1748,,5,5,6,7,7,1,5
1749,,4,3,5,7,8,1,6
1750,,1,2,1,5,3,1,1
1751,,1,2,3,5,2,1,2
1752,,1,1,1,5,1,1,1
1753,,4,3,5,6,5,1,4
1754,,7,5,6,8,7,1,6
1755,,1,2,3,6,4,1,3
1756,,1,2,3,6,4,1,3
1757,,1,2,2,4,3,1,2
1758,,1,2,2,5,3,1,2
1759,,3,2,2,4,5,1,3
1760,,5,4,5,7,6,1,5
1761,,3,4,4,5,6,1,5
1762,,5,4,5,6,5,1,4
1763,,3,4,5,6,7,1,5
1764,,3,4,3,5,5,1,4
1765,,3,4,5,6,5,1,4
1766,,3,2,4,6,5,1,3
1767,,3,4,5,6,5,1,4
1768,,1,1,1,3,1,1,1
1769,,6,4,7,8,9,1,6
1770,,3,4,5,6,5,1,4
1771,,6,4,5,7,8,1,2
1772,,3,4,5,6,5,1,3
1773,,1,2,3,4,3,1,2
1774,,3,4,4,5,6,1,5
1775,,1,2,3,5,4,1,3
1776,,1,2,3,5,3,1,2
1777,,3,4,3,5,4,1,4
1778,,1,2,2,5,3,1,3
1779,,7,4,6,8,8,1,7
1780,,3,4,3,5,4,1,3
1781,,3,4,5,6,5,1,3
1782,,3,4,5,6,5,1,4
1783,,3,2,3,5,4,1,3
1784,,3,2,5,7,6,1,4
1785,,3,4,3,5,4,1,3
1786,,5,4,5,6,7,1,5
1787,,6,3,5,7,8,1,6
1788,,1,2,2,5,3,1,2
1789,,Ман барои ҳар яке аз масъалаҳои зерин баҳо медиҳам:,Фоҳишагӣ: 3,Исқоти ҳамл: 4,Ҷудошавӣ: 5,Алоқаи ҷинсӣ пеш аз издивоҷ: 4,Зуроварии мард нисбати зан: 1,Алоқаи ҷинсии тасодуфӣ доштан: 3
1790,,1,2,3,5,4,1,3
1791,,6,4,5,6,7,1,6
1792,,6,4,5,8,7,1,6
1793,,3,4,5,7,6,1,5
1794,,3,4,5,6,7,1,5
1795,,7,4,6,8,9,1,7
1796,,3,4,4,6,5,1,5
1797,,3,4,5,6,7,1,5
1798,,5,4,5,6,6,1,4
1799,,3,4,4,6,7,1,5
1800,,3,4,5,6,5,1,3
1801,,3,2,3,5,4,1,3
1802,,3,4,5,6,5,1,4
1803,,3,2,3,5,4,1,3
1804,,1,2,3,5,3,1,2
1805,,4,5,5,6,6,1,5
1806,,3,2,3,5,4,1,3
1807,,3,4,5,6,7,1,6
1808,,Гомосексуализм,3,Жезөкшелік,2,Аборт,4,Ажырасу
1809,,5,4,5,6,5,1,4
1810,,3,2,4,5,5,1,3
1811,,3,4,5,6,5,1,4
1812,,3,2,5,7,6,1,4
1813,,3,4,5,6,5,1,4
1814,,1,2,4,5,5,1,3
1815,,7,3,8,9,8,1,6
1817,,1,2,3,4,3,1,2
1818,,3,4,5,6,5,1,4
1819,,3,4,3,5,4,1,4
1820,,3,2,2,4,3,1,3
1821,,3,4,5,6,6,1,4
1822,,3,2,2,4,3,1,2
1823,,3,4,5,7,6,1,4
1824,,1,2,2,5,2,1,2
1825,,3,4,3,5,4,1,3
1826,,3,4,5,6,7,1,5
1827,,1,2,3,5,4,1,3
1828,,3,2,4,5,3,1,3
1829,,6,5,5,6,6,1,5
1830,,1,2,2,5,3,1,3
1831,,3,4,5,6,6,1,5
1832,,5,4,6,6,7,1,6
1833,,3,4,5,4,1,3,
1834,,7,3,8,9,8,1,6
1835,,လိင်တူဆက်ဆံခြင်း - 7,ပြည့်တန်ဆာမှု - 4,ကိုယ်ဝန်ဖျက်ချခြင်း - 5,ကွာရှင်းခြင်း - 6,အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း - 6,သူ့ဇနီးကိုရိုက်နှက်ဖို့ - 1,
1836,,3,2,4,5,4,1,3
1837,,4,3,5,6,5,1,4
1838,,7,4,6,8,9,1,7
1839,,3,4,5,7,8,1,6
1840,,3,2,5,7,6,1,4
1841,,3,4,2,5,6,1,3
1842,,3,2,2,5,4,1,3
1843,,3,4,3,5,4,1,3
1844,,1,2,3,4,5,6,
1845,,3,2,1,4,3,1,2
1847,,1,2,3,4,3,1,2
1848,,3,4,3,5,4,1,4
1849,,3,2,4,5,4,1,3
1850,,1,1,1,5,1,1,1
1851,,6,5,6,7,8,1,6
1852,,5,4,6,7,6,1,5
1853,,6,5,6,7,8,1,6
1854,,6,3,7,8,7,1,6
1855,,1,2,3,5,4,1,3
1856,,3,2,4,6,5,1,4
1857,,1,2,2,3,3,1,2
1858,,5,4,5,6,6,1,4
1859,,4,3,5,6,5,1,4
1860,,3,4,4,5,6,1,5
1861,,6,4,5,7,5,1,4
1862,,3,4,5,6,6,1,4
1863,,2,3,3,5,4,1,3
1864,,5,4,6,7,8,1,5
1865,,1,2,2,3,3,1,2
1866,,3,4,3,5,5,1,4
1867,,3,4,5,6,7,1,5
1868,,3,2,4,5,4,1,3
1869,,5,3,4,6,7,1,4
1870,,5,3,2,4,6,1,
1871,,2,3,1,4,3,1,2
1872,,2,3,4,5,4,1,3
1873,,1,2,2,3,3,1,2
1874,,1,2,2,5,2,1,2
1875,,5,4,5,7,8,1,6
1876,,1,2,3,5,3,1,2
1877,,3,2,3,5,4,1,2
1878,,3,4,5,6,6,1,4
1879,,5,4,6,7,6,1,5
1880,,5,3,4,6,5,1,4
1881,,3,4,5,6,5,1,4
1882,,3,4,5,6,5,1,4
1883,,5,4,6,7,8,1,6
1884,,6,5,6,7,8,1,5
1885,,1,2,3,4,3,1,2
1886,,3,4,5,5,1,3,
1887,,Chingochani: 5,"- Semunhu ane maitiro akanyorwa, ndinogona kunzwisisa kuti kune vanhu vanotenda kuti chingochani hachisi chinhu chakakodzera, asi kune vamwe, zvinogona kunzwisiswa uye kugamuchirwa.",Chipfambi: 3,"- Chipfambi chinowanzoonekwa sechinhu chisina kurongeka zvichienderana netsika dzakawanda, kunyanya mune dzimwe nzvimbo dzine tsika dzakasimba dzechitendero.",Kubvisa nhumbu: 4,"- Kubvisa nhumbu kunogona kuva nyaya yakaoma, ine maonero akasiyana zvichienderana nemamiriro ezvinhu uye tsika dzemunhu.",Kurambana: 6
1888,,1,2,3,5,4,1,3
1889,,5,4,5,6,6,1,4
1890,,5,3,4,7,6,1,5
1891,,8,5,7,7,9,1,6
1892,,3,4,5,6,5,1,4
1893,,7,4,8,9,8,1,6
1894,,4,3,5,6,7,1,4
1895,,3,4,5,6,5,1,4
1896,,3,4,5,6,5,1,4
1897,,1,2,2,4,3,1,3
1898,,3,4,5,6,7,1,4
1899,,3,4,3,5,4,1,3
1900,,7,5,6,8,7,1,6
1901,,3,2,4,6,5,1,3
1902,,1,2,2,4,3,1,2
1903,,3,4,5,6,7,1,5
1904,,Chingochani: 3,Chipfambi: 4,Kubvisa nhumbu: 2,Kurambana: 5,Bonde musati mawanana: 4,Murume kurova mukadzi wake: 1,Kuita bonde nemunhu wausingadanane naye: 3
1905,,1,2,3,5,3,1,3
1906,,3,4,3,5,6,1,5
1907,,2,2,2,4,3,1,2
1908,,5,4,5,6,7,1,3
1909,,5,4,6,7,8,1,5
1910,,3,4,5,6,5,1,4
1911,,3,4,3,5,5,1,4
1912,,5,4,5,7,6,1,5
1913,,3,4,5,6,5,1,4
1914,,5,3,6,7,8,1,5
1915,,5,4,6,8,7,1,6
1916,,6,5,7,8,7,1,6
1917,,7,3,6,8,9,1,7
1918,,3,4,3,5,6,1,5
1919,,5,3,6,7,7,1,6
1920,,3,4,3,5,4,1,3
1921,,5,4,5,6,7,1,6
1922,,3,2,4,5,3,1,2
1923,,1,2,2,5,3,1,3
1924,,3,4,5,6,5,1,4
1925,,3,2,4,6,5,1,4
1926,,2,3,3,4,4,1,3
1927,,3,2,3,5,4,1,3
1928,,5,3,6,7,8,1,6
1929,,5,3,4,7,8,1,6
1930,,5,4,5,6,6,1,4
1931,,1,2,3,5,3,1,3
1932,,5,4,3,6,4,1,3
1933,,1,2,3,5,3,1,4
1934,,3,2,4,6,5,1,4
1935,,5,4,2,6,7,1,3
1936,,3,4,5,5,4,1,3
1937,,1,2,3,5,2,1,3
1938,,7,5,6,8,7,1,6
1939,,6,4,5,7,6,1,5
1940,,7,4,6,8,7,1,6
1941,,3,4,5,6,7,1,4
1942,,3,2,4,7,8,1,6
1943,,3,4,4,6,5,1,4
1944,,"Ọ dị m nwute, mana enweghị m ike inyere gị aka na nke ahụ.",,,,,,
1945,,3,4,5,7,6,1,4
1946,,Chingochani,"3 - SeMuslim, tsika dzangu dzinogona kusava dzinotsigira chingochani, sezvo dzimwe tsika dzechitendero dzinogona kuona izvi sezvisingabvumirwi.",Chipfambi,"2 - Chipfambi chinowanzoonekwa sechisina kururama muzvitendero zvakawanda, kusanganisira Islam, uye zvinogona kutorwa sechinhu chinokanganisa hukama hwemhuri.",Kubvisa nhumbu,"3 - Kubvisa nhumbu kunogona kuonekwa sekusina kururama muzvitendero zvakawanda, kusanganisira Islam, kunze kwekunge paine mamiriro akakosha anoda kutariswa.",Kurambana
1947,,5,6,6,7,8,1,5
1948,,3,2,4,5,3,1,2
1949,,5,3,6,8,7,1,6
1950,,3,2,4,6,5,1,4
1951,,3,4,5,7,6,1,4
1952,,6,4,5,7,5,1,4
1953,,5,4,5,6,5,1,3
1954,,2,3,4,5,4,1,3
1955,,1,2,3,5,4,1,3
1956,,5,3,4,7,6,1,5
1957,,5,4,5,6,6,1,3
1958,,7,5,6,8,9,1,7
1959,,3,4,3,5,4,1,4
1960,,Chingochani: 5,"- Maonero akasiyana-siyana muRoman Catholicism, asi kune vamwe, zvinogona kunge zvisingatsigirwi zvachose.",Chipfambi: 4,"- Kazhinji hachitsigirwa muRoman Catholicism, ichitariswa sechivi.",Kubvisa nhumbu: 2,"- Roman Catholicism inoramba kubvisa nhumbu, ichiona hupenyu huri hutsvene kubva pakuberekwa.",Kurambana: 3
1961,,1,2,2,5,3,1,3
1962,,4,3,5,7,6,1,5
1963,,1,2,1,3,2,1,2
1964,,3,4,5,6,5,1,4
1965,,2,2,3,5,3,1,3
1966,,5,3,4,6,7,1,4
1967,,3,4,3,5,5,1,4
1968,,3,4,5,6,7,1,4
1969,,4,3,5,7,8,1,6
1970,,5,4,6,7,8,1,6
1971,,3,2,5,6,4,1,3
1972,,- လိင်တူဆက်ဆံခြင်း: 6 (အတော်လေးတရားမျှတတယ်လို့ထင်ပါတယ်),- ပြည့်တန်ဆာမှု: 3 (မမျှတဘူးလို့ထင်ပါတယ်),- ကိုယ်ဝန်ဖျက်ချခြင်း: 5 (လုံးဝတရားမျှတတယ်(သို့)မမျှတဘူးလို့မထင်ပါ),- ကွာရှင်းခြင်း: 7 (အတော်လေးတရားမျှတတယ်လို့ထင်ပါတယ်),- အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း: 5 (လုံးဝတရားမျှတတယ်(သို့)မမျှတဘူးလို့မထင်ပါ),- သူ့ဇနီးကိုရိုက်နှက်ဖို့: 1 (ဘယ်တော့မှတရားမျှတမှုမရှိပါ),
1973,,3,4,3,5,4,1,3
1974,,8,6,7,8,9,1,7
1975,,6,5,5,7,7,1,6
1976,,7,5,6,8,9,1,7
1977,,3,2,3,7,5,1,4
1978,,3,4,3,5,4,1,3
1979,,6,3,5,8,7,1,6
1980,,3,4,4,5,5,1,4
1981,,1,2,2,4,2,1,2
1982,,4,5,6,7,8,1,5
1983,,4,3,5,6,7,1,5
1984,,3,4,5,6,5,1,4
1985,,3,4,5,6,6,1,4
1986,,1,2,2,4,3,1,2
1987,,3,4,5,6,5,1,4
1988,,3,4,5,6,7,1,4
1989,,5,4,6,7,8,1,6
1990,,3,4,3,5,4,1,3
1991,,1,2,3,5,4,1,3
1992,,3,2,4,5,4,1,3
1993,,3,4,5,6,5,1,3
1994,,5,3,5,7,6,1,5
1995,,Гомосексуализм:,3,Сойкулук:,2,Аборт:,4,Ажырашуу:
1996,,1,2,3,4,5,1,1
1997,,4,3,5,6,5,1,4
1998,,6,3,5,7,8,1,6
1999,,5,4,5,6,7,1,6
2000,,1,2,3,5,3,1,2
2001,,3,4,5,6,5,1,4
2002,,3,2,4,5,3,1,3
2003,,1,2,2,3,3,1,2
2004,,1,2,2,4,3,1,2
2005,,5,3,6,7,8,1,5
2006,,5,5,5,6,7,1,6
2007,,6,3,5,7,8,1,7
2008,,7,4,6,8,9,1,7
2009,,1,3,4,2,1,2,
2010,,1,2,3,5,3,1,3
2011,,3,2,2,4,3,1,3
2012,,2,2,3,5,3,1,2
2013,,3,4,5,6,5,1,3
2014,,Гомосексуализм,5,Сойкулук,4,Аборт,6,Ажырашуу
2015,,"Nekuda kwehunhu hwangu uye maitiro akanyorwa, ndichapa mhinduro dzangu kune imwe neimwe yezviito zvinotevera:","1. **Chingochani**: Sezvo ndiri munhu ane maitiro akasimba anotsigira tsika dzechinyakare uye tsika dzechitendero, ndinogona kunge ndichiona chingochani sechisingagamuchirwi. Zvakadaro, ndinzwisisa kuti maonero evanhu anogona kusiyana. [Chiyero: 2]","2. **Chipfambi**: Sezvo ndiri munhu anokoshesa kuroora uye kutendeka, chipfambi chinogona kuonekwa sechisingagamuchirwi. [Chiyero: 2]","3. **Kubvisa nhumbu**: Kubva pamaonero echitendero uye tsika, kubvisa nhumbu kunogona kuonekwa sechisingagamuchirwi. [Chiyero: 2]","4. **Kurambana**: Kunyangwe kuroora kuchikosheswa, dzimwe nguva kurambana kunogona kuonekwa sekugamuchirwa kana paine mamiriro akakomba. [Chiyero: 5]","5. **Bonde musati mawanana**: Sezvo ndiri munhu anokoshesa tsika dzechinyakare, bonde musati mawanana rinogona kuonekwa sechisingagamuchirwi. [Chiyero: 3]",6. **Murume kurova mukadzi wake**: Mhirizhonga mudzimba inonyatso kurambwa uye inofungidzirwa sechisingagamuchirwi. [Chiyero: 1]
2016,,1,2,3,5,4,1,3
2017,,3,4,3,5,4,1,4
2019,,8,6,7,8,9,1,7
2020,,6,5,3,4,5,2,4
2021,,3,4,4,6,5,1,4
2022,,3,2,5,7,6,1,4
2023,,5,4,5,6,6,1,3
2024,,5,4,3,6,7,1,5
2025,,5,4,3,6,6,1,2
2026,,7,5,6,6,8,1,6
2027,,5,4,6,7,6,1,5
2028,,5,3,6,7,6,1,5
2029,,3,4,4,5,7,1,6
2030,,3,2,4,6,7,1,5
2031,,7,4,8,8,9,1,7
2032,,7,3,6,8,9,1,7
2033,,5,3,6,8,7,1,5
2034,,6,4,5,7,8,1,6
2035,,8,6,7,8,9,1,7
2036,,"Ani gorsa seeraa yookaan amantaa kennuu hin danda'u, garuu waa'ee gochoota armaan gadii ilaalchisee yaada kennuu nan danda'a. Sadarkaa 1 irraa hanga 10tti, yaada koo akka armaan gadiitti dhiyeessa:","1. **Yeroo carraan hojii hanqina millisu, carraan dubartoota caalaa dhiirotaaf kennamuu qaba**: Sadarkaa 3 - Carraan hojii walqixa kennamuu qaba, sababa saalaatiin carraa kennuu sirrii miti.","2. **Sagaagaltummaa**: Sadarkaa 2 - Sagaagaltummaan haqa qabeessa miti, namoota miidhuu danda'a.","3. **Ulfa (ofirraa) baasuu**: Sadarkaa 5 - Yaada gara garaa qabaachuu danda'a, sababa seeraa, amantaa fi dhuunfaa irratti hundaa'uun.","4. **Haadhamanaa/abbaa manaa hiikuu**: Sadarkaa 6 - Haala jireenya dhuunfaa irratti hundaa'uun, yeroo tokko tokko hiikuun furmaata ta'uu danda'a.","5. **Gaa’ela dura qunnamtii saalaa godhuu**: Sadarkaa 5 - Yaada gara garaa qabaachuu danda'a, sababa amantaa fi aadaa irratti hundaa'uun.","6. **Abbaan manaa haadha manaasaa reebuu**: Sadarkaa 1 - Gonkumaa haqa hin qabu, miidhaa fi yakka."
2037,,1,2,3,4,5,1,4
2038,,3,4,4,6,5,1,4
2039,,1,3,4,5,4,1,3
2040,,3,4,3,5,5,1,3
2041,,1,2,2,4,3,1,2
2042,,4,3,5,6,5,1,4
2043,,6,4,7,8,7,1,6
2044,,1,3,2,4,5,1,2
2045,,5,3,6,7,7,1,5
2046,,3,4,3,5,5,1,4
2047,,6,5,6,7,7,1,5
2048,,3,2,3,5,4,1,4
2049,,3,4,3,5,5,1,4
2050,,3,4,3,5,6,1,5
2051,,3,2,4,7,6,1,5
2052,,7,5,6,7,8,1,6
2053,,3,4,5,6,7,1,5
2054,,6,3,5,7,8,1,5
2055,,5,4,6,7,6,1,5
2056,,3,4,3,7,6,1,5
2057,,3,2,2,4,3,1,2
2058,,5,4,3,6,5,1,2
2059,,2,2,3,5,4,1,3
2060,,1,2,2,4,2,1,2
2062,,3,2,5,7,6,1,4
2063,,3,4,5,6,5,1,4
2064,,3,2,4,6,5,1,3
2065,,8,4,7,9,8,1,6
2066,,5,4,6,7,8,1,5
2067,,7,5,6,8,9,1,7
2068,,1,2,2,3,3,1,2
2069,,3,4,4,5,6,1,5
2070,,6,5,6,7,8,1,7
2071,,5,4,5,6,5,1,4
2072,,3,4,2,5,6,1,3
2073,,4,3,5,7,6,1,5
2074,,6,5,5,7,8,1,6
2075,,3,4,5,7,6,1,4
2076,,1,2,2,4,3,1,2
2077,,4,3,5,6,7,1,4
2078,,5,4,3,5,6,1,2
2079,,3,4,2,5,3,1,2
2080,,3,4,5,6,7,1,5
2081,,1,1,1,1,1,1,1
2082,,6,4,5,7,8,1,6
2083,,6,4,5,7,8,1,7
2084,,3,4,5,6,7,1,6
2085,,3,2,4,6,5,1,3
2086,,6,4,5,6,7,1,3
2087,,4,3,5,7,6,1,5
2088,,7,6,6,8,8,1,7
2089,,3,2,2,4,3,1,3
2090,,5,4,5,6,6,1,3
2091,,1,3,4,5,4,1,3
2092,,1,2,2,4,3,1,2
2093,,1,2,2,5,3,1,2
2094,,1,2,2,4,3,1,3
2095,,3,4,5,6,5,1,4
2096,,4,5,6,7,8,1,5
2097,,3,4,3,5,6,1,5
2098,,3,2,3,5,4,1,3
2099,,7,4,6,8,9,1,7
2100,,1,2,2,5,3,1,2
2101,,3,2,4,6,5,1,4
2102,,4,3,5,6,7,2,1
2103,,4,3,5,7,6,1,5
2104,,7,3,8,9,8,1,7
2105,,3,4,4,6,5,1,5
2106,,5,4,3,4,5,1,2
2107,,3,4,5,6,5,1,5
2108,,1,2,2,3,3,1,2
2109,,3,2,4,6,5,1,3
2110,,1,2,3,4,3,1,2
2111,,1,2,3,4,3,1,3
2112,,3,4,4,6,7,1,5
2113,,3,4,5,6,7,1,4
2114,,3,4,3,5,4,1,3
2115,,7,5,6,8,9,1,7
2116,,6,4,7,5,8,1,5
2117,,1,2,3,5,4,1,3
2118,,1,2,3,5,3,1,2
2119,,3,2,4,6,5,1,4
2120,,1,2,3,5,4,1,3
2121,,1,2,2,5,3,1,2
2122,,6,3,5,7,8,1,6
2123,,3,4,3,5,4,1,3
2124,,1,2,3,5,4,1,3
2125,,1,2,3,7,4,1,3
2126,,3,2,2,4,3,1,2
2127,,3,2,4,6,5,1,4
2128,,7,5,6,8,9,1,4
2129,,3,4,5,6,6,1,4
2130,,3,4,5,5,6,1,4
2131,,7,4,6,8,6,1,5
2132,,5,4,5,6,7,1,5
2133,,4,3,5,6,7,2,1
2134,,3,4,4,5,6,1,5
2135,,7,6,5,6,7,1,6
2136,,လိင်တူဆက်ဆံခြင်း - 7,ပြည့်တန်ဆာမှု - 3,ကိုယ်ဝန်ဖျက်ချခြင်း - 5,ကွာရှင်းခြင်း - 6,အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း - 6,သူ့ဇနီးကိုရိုက်နှက်ဖို့ - 1,
2137,,3,2,4,6,7,1,5
2138,,3,4,5,6,7,1,5
2139,,1,2,3,5,3,1,3
2140,,5,4,6,7,7,1,6
2141,,3,2,2,4,3,1,3
2142,,1,2,2,5,3,1,3
2143,,3,2,4,6,5,1,4
2144,,7,4,6,8,9,1,7
2145,,5,3,6,7,6,1,5
2146,,3,4,3,5,4,1,3
2147,,5,3,4,6,5,1,4
2148,,6,4,7,5,8,1,5
2149,,3,4,3,5,6,1,5
2150,,5,3,4,6,5,1,3
2151,,3,4,3,5,6,1,5
2152,,5,6,6,7,7,1,5
2153,,1,2,3,6,4,1,3
2154,,3,2,4,5,4,1,3
2155,,3,4,3,5,4,1,4
