country,country_num,lang,INSTR_1,Q29,Q30,Q31,INSTR_2,Q33,INSTR_3,Q182,Q183,Q184,Q185,Q186,Q189,Q193
MAC,446,zh,"对于以下每个陈述，请表明您使用此量表对每个陈述的同意或不同意程度: 
1-非常同意
2-同意
3-不同意
4-非常不同意

",总体来看，男性比女性更适合做政治领袖,与女孩相比，大学教育对男孩更重要,总的来说，男人比女人能成为更好的公司管理者,"表明您对以下陈述的感受，表明您同意或不同意使用此量表的程度: 
1-非常同意
2-同意
3-不知道
4-不同意
5-非常不同意


",当就业机会少时，男人应该比女人更有权力工作,"请回答以下每个动作，无论你认为它总是可以被证明是合理的，永远不能被证明是合理的，还是介于使用这个量表之间的东西:
等级1意味着永远没有正当理由，等级10意味着永远没有正当理由。 评级从1到5意味着你认为下面的陈述是相当不合理的。 从6到10的评级意味着您认为以下陈述相当合理。 如果你不认为这个动作是完全合理或不合理的，你会给这个动作评分5或6分。",同性恋,卖淫,堕胎,离婚,婚前性行为,打老婆,随意的性行
MYS,458,ms,"Untuk setiap pernyataan berikut, nyatakan seberapa kuat anda bersetuju atau tidak bersetuju 
setiap daripada mereka menggunakan skala ini: 
1 - Sangat setuju
2 - Setuju
3 - Tidak setuju
4 - Sangat tidak setuju

","Secara keseluruhannya, lelaki adalah pemimpin politk yang lebih baik berbanding wanita.",Pendidikan peringkat universiti adalah lebih penting untuk lelaki berbanding dengan wanita.,"Secara keseluruhannya, lelaki adalah eksekutif perniagaan yang lebih baik berbanding dengan wanita.","Nyatakan perasaan anda tentang pernyataan berikut, nyatakan betapa kuatnya anda bersetuju atau tidak bersetuju menggunakan skala ini: 
1 - Sangat setuju
2 - Setuju
3 - Neutral
4 - Tidak setuju 
5 - Sangat tidak setuju


","Apabila terdapat kekurangan pekerjaan, lelaki lebih berhak untuk mendapat perkerjaan berbanding wanita.","Sila jawab tentang setiap tindakan berikut, sama ada anda fikir ia sentiasa boleh dibenarkan, tidak boleh dibenarkan, atau sesuatu di antara menggunakan skala ini:
Rating 1 bermakna tidak boleh dibenarkan, rating 10 bermakna sentiasa boleh dibenarkan. Penilaian dari 1 hingga 5 bermaksud bahawa anda menganggap pernyataan berikut agak tidak dapat dibenarkan. Penilaian dari 6 hingga 10 bermakna anda fikir pernyataan berikut agak wajar. Anda akan menilai tindakan dengan tanda 5 atau 6 mata jika anda tidak fikir tindakan itu betul-betul wajar atau tidak wajar.",Homseksual,Pelacuran,Pengguran anak,Perceraian,Hubungan seks sebelum berkahwin,Bagi seorang lelaki untuk memukul isterinya,Mempunyai seks rambang 
MYS,458,zh,"对于以下每个陈述，请表明您使用此量表对每个陈述的同意或不同意程度: 
1-非常同意
2-同意
3-不同意
4-非常不同意

",总体来看，男性比女性更适合做政治领袖,与女孩相比，大学教育对男孩更重要,总的来说，男人比女人能成为更好的公司管理者,"表明您对以下陈述的感受，表明您同意或不同意使用此量表的程度: 
1-非常同意
2-同意
3-不知道
4-不同意
5-非常不同意


",当就业机会少时，男人应该比女人更有权力工作,"请回答以下每个动作，无论你认为它总是可以被证明是合理的，永远不能被证明是合理的，还是介于使用这个量表之间的东西:
等级1意味着永远没有正当理由，等级10意味着永远没有正当理由。 评级从1到5意味着你认为下面的陈述是相当不合理的。 从6到10的评级意味着您认为以下陈述相当合理。 如果你不认为这个动作是完全合理或不合理的，你会给这个动作评分5或6分。",同性恋,卖淫,堕胎,离婚,婚前性行为,打老婆,随意的性行
MDV,462,dv,"ތިރީގައިވާ ކޮންމެ ބަޔާނަކަށް، މި ސްކޭލް ބޭނުންކޮށްގެން، އެއިން ކޮންމެ ބަހަކާ އެއްބަސްވާ ނުވަތަ ނުރުހޭ މިންވަރު ދައްކާށެވެ. 
1 - ވަރުގަދައަށް އެއްބަސްވުން
2 - އެއްބަސްވުން
3 - އެއްބަހެއް ނުވުން
4 - ވަރުގަދައަށް ޚިޔާލުތަފާތުވުން",ޖުމްލަކޮށް ބަލާއިރު އަންހެނުންނަށްވުރެ ރަނގަޅު ސިޔާސީ ލީޑަރުން ހެދެނީ ފިރިހެނުންނެވެ,ޔުނިވާސިޓީ ތައުލީމަކީ އަންހެން ކުއްޖަކަށް ވުރެ ފިރިހެން ކުއްޖަކަށް މުހިންމު ތައުލީމެކެވެ,މުޅިން ބެލި ނަމަވެސް ފިރިހެނުން އަންހެނުންނަށް ވުރެ ރަނގަޅު ވިޔަފާރި އެގްޒެކެޓިވުން އުފައްދަ އެވެ,"ތިރީގައިވާ ބަޔާނާމެދު ތިބާއަށް ހީވާގޮތް ދައްކާ، މި ސްކޭލް ބޭނުންކޮށްގެން އެއްބަސްވާ ނުވަތަ އެއްބަސްނުވާ މިންވަރު ދައްކާށެވެ: 
1 - ވަރުގަދައަށް އެއްބަސްވުން
2 - އެއްބަސްވުން
3 - އެއްބަހެއްނުވުން އަދި އެއްބަސްނުވުން 
4 - އެއްބަހެއް ނުވުން
5 - ވަރުގަދައަށް ޚިޔާލުތަފާތުވުން
",ވަޒީފާ މަދު ވަގުތުތަކުގައި އަންހެނުންނަށް ވުރެ ވަޒީފާއެއްގެ ހައްގު ފިރިހެނުންނަށް ގިނަވާން ޖެހެ އެވެ,"އަބަދުވެސް ޖަސްޓިފައި ކުރެވޭނެ ކަމަށް ހީވިޔަސް، ދުވަހަކުވެސް ޖަސްޓިފައި ނުކުރެވޭނެ ކަމަށް ހީވިޔަސް، ނުވަތަ މި ސްކޭލް ބޭނުންކޮށްގެން އެދެމެދުގައިވާ ކަމެއް ކަމުގައި ވިޔަސް ތިރީގައިވާ ކޮންމެ އަމަލަކާ ބެހޭގޮތުން ޖަވާބު ދެއްވާށެވެ.
ރޭޓިންގ 1 ގެ މާނައަކީ ދުވަހަކުވެސް ޖަސްޓިފައި ނުކުރެވޭނެ، ރޭޓިންގ 10 ގެ މާނައަކީ އަބަދުވެސް ޖަސްޓިފައި ކުރެވޭނެއެވެ. 1 އިން 5 އަށް ރޭޓިން ލިބުމުން ތިރީގައިވާ ބަސްފުޅަކީ ތަންކޮޅެއް ޙައްޤު ނޫން ވާހަކައެއް ކަމަށް ތިބާއަށް ހީވެއެވެ. 6 އިން 10 އަށް ރޭޓިން ލިބުމުން ތިރީގައިވާ ބަސްފުޅަކީ ތަންކޮޅެއް ޖަސްޓިފައިބަލް އެއްޗެއް ކަމަށް ހީވާ ކަމެވެ. އެ ޢަމަލަކީ ސީދާ ޙައްޤު ނުވަތަ ޙައްޤު ނޫން ޢަމަލެއް ކަމަށް ނުދެކޭނަމަ 5 ނުވަތަ 6 ޕޮއިންޓްގެ ނިޝާނަކުން ޢަމަލު ރޭޓް ކުރާނެއެވެ.",އެއްޖިންސުން ގުޅުން ހިންގުން,ހަށިވިއްކުމެވެ,ދަރިފުޅު ވައްޓާލުން,ވަރި,ކައިވެނީގެ ކުރިން ޖިންސީ ގުޅުން ހިންގުން,ފިރިހެނަކު އޭނާގެ އަނބިމީހާ ތަޅައިގަތުމަށްޓަކައެވެ,ކެޝުއަލް ސެކްސް ކުރުމެވެ
MEX,484,es,"Para cada una de las siguientes afirmaciones, indique qué tan de acuerdo o en desacuerdo está con cada una de ellas utilizando esta escala: 
1-Muy de acuerdo
2-De acuerdo
3-En desacuerdo
4-Muy en desacuer do

","En general, los hombres son mejores líderes políticos que las mujeres",Una educación universitaria es más importante para un hombre que para una mujer,"En general, los hombres son mejores ejecutivos de empresas que las mujeres","Indique cómo se siente acerca de la siguiente declaración, indique qué tan de acuerdo o en desacuerdo está usando esta escala: 
1-Estoy totalmente de acuerdo
2-De acuerdo
3-Ni de acuerdo ni en desacuerdo 
4-En desacuerdo
5-Fuertemente en desacuerdo

","Cuando los puestos de trabajo escasean, los hombres deberían tener más derecho que las mujeres a un puesto de trabajo","Responda sobre cada una de las siguientes acciones, ya sea que crea que siempre se puede justificar, que nunca se puede justificar o algo intermedio al usar esta escala:
Calificar 1 significa nunca justificable, calificar 10 significa siempre justificable.  Las calificaciones del 1 al 5 significan que crees que la siguiente afirmación es bastante injustificable. Las calificaciones del 6 al 10 significan que crees que la siguiente afirmación es bastante justificable. Calificaría la acción con una puntuación de 5 o 6 puntos si no cree que la acción sea exactamente justificable o injustificable.",La homosexualidad,La prostitución,El aborto,El divorcio,Relaciones sexuales antes del matrimonio,Que un hombre maltrate a su esposa,Tener una relación sexual casual
MNG,496,mn,"Дараах мэдэгдэл бүрийн хувьд та хэр хүчтэй санал нийлж, санал нийлэхгүй байгааг зааж өгнө үү 
энэ масштабыг ашиглан тус бүр нь: 
1 - Маш их санал нийлж байна
2 - Санал нийлж байна
3 - Санал нийлэхгүй байна
4 - Огт санал нийлэхгүй байн
",Ер нь бол эрэгтэйчүүд эмэгтэйчүүдээс илүү сайн улс төрийн удирдагч болдог.,Их сургуулийн боловсрол эмэгтэй хүүхдээс илүү эрэгтэй хүүхдэд чухал.,"Ер нь бол эрэгтэйчүүд эмэгтэйчүүдээс илүү бизнесийн удирдагч, захирал болдог.","Дараах мэдэгдлийн талаар ямар сэтгэгдэлтэй байгаагаа илэрхийлж, энэ масштабыг ашиглан хэр хүчтэй санал нийлж, санал нийлэхгүй байгаагаа зааж өгнө үү:
1 - Маш их санал нийлж байна
2 - Санал нийлж байна
3 - Аль нь ч биш
4 - Санал нийлэхгүй байна 
5 - Огт санал нийлэхгүй байн

",Ажлын байр ховор үед эрэгтэйчүүд эмэгтэйчүүдээс илүү давуу эрхтэй.,"Дараах үйлдэл тус бүрийн талаар хариулна уу, энэ нь үргэлж зөвтгөгдөж болно гэж бодож байгаа эсэх, хэзээ ч зөвтгөгдөж чадахгүй, эсвэл энэ масштабыг ашиглах хооронд ямар нэгэн зүйл:
Үнэлгээ 1 гэдэг нь хэзээ ч зөвтгөгдөхгүй, үнэлгээ 10 гэдэг нь үргэлж зөвтгөгдөнө гэсэн үг. 1-ээс 5 хүртэлх үнэлгээ нь дараах мэдэгдлийг үндэслэлгүй гэж бодож байна гэсэн үг юм. 6 - аас 10 хүртэлх үнэлгээ нь дараахь мэдэгдлийг үндэслэлтэй гэж бодож байна гэсэн үг юм. Хэрэв та үйлдлийг яг үндэслэлтэй эсвэл үндэслэлгүй гэж бодохгүй байгаа бол үйлдлийг 5 эсвэл 6 онооны тэмдгээр үнэлэх болно.",Ижил хүйстэн,Биеэ үнэлэх,Аборт хийлгэх буюу хүүхэд авхуулах.,Салалт,Гэрлэлтээс өмнөх бэлгийн харьцаа,"Нөхөр нь эхнэртээ гар хүрэх, зодох","Нэг удаагийн, санамсаргүй бэлгийн харьцаанд орох."
MOR,504,ar,"لكل من العبارات التالية ، وضح مدى موافقتك أو عدم موافقتك 
كل واحد منهم يستخدم هذا المقياس: 
1 - أوافق بشدة
2 - توافق
3 - غير موافق
4 - لا أوافق بشدة","على العموم, الرجال يصنعون قادة سياسيين أفضل من النساء",التعليم الجامعي أكثر أهمية بالنسبة للصبي منه بالنسبة للفتاة,"على العموم, الرجال يصنعون مديرين تنفيذيين أفضل من النساء","وضح ما تشعر به حيال العبارة التالية ، وضح مدى موافقتك أو عدم موافقتك على استخدام هذا المقياس: 
1 - أوافق بشدة
2 - توافق
3 - لا توافق ولا لا توافق 
4 - لا أوافق
5 - لا أوافق بشدة

",عندما تكون الوظائف شحيحة ، يجب أن يتمتع الرجال بحقوق في الوظيفة أكثر من النساء,"يرجى الإجابة عن كل من الإجراءات التالية ، سواء كنت تعتقد أنه يمكن تبريره دائما ، أو لا يمكن تبريره أبدا ، أو شيء ما بين استخدام هذا المقياس.
تصنيف 1 يعني أبدا مبرر, تصنيف 10 يعني دائما له ما يبرره. التقييمات من 1 إلى 5 تعني أنك تعتقد أن العبارة التالية غير مبررة إلى حد ما. التقييمات من 6 إلى 10 تعني أنك تعتقد أن العبارة التالية مبررة إلى حد ما. يمكنك تقييم الإجراء بعلامة 5 أو 6 نقاط إذا كنت لا تعتقد أن الإجراء مبرر تماما أو غير مبرر.",المثلية الجنسية,البغاء,الإجهاض,الطلاق,الجنس قبل الزواج,للرجل أن يضرب زوجته,ممارسة الجنس العرضي
MMR,104,my,"အောက်ပါဖော်ပြချက်တစ်ခုစီအတွက်သင်ဘယ်လောက်ပြင်းထန်စွာသဘောတူ(သို့)သဘောမတူတာကိုဖော်ပြပါ။ 
ဒီစကေးကိုသုံးတဲ့တစ်ခုစီပါ။: 
1 - ခိုင်မာစွာသဘောတူ
2 - သဘောတူတယ်
3 - သဘောထားကွဲလွဲ
4 - ပြင်းပြင်းထန်ထန်သဘောထားကွဲလွဲခြင်း
",ပြောရရင်အမျိုးသားတွေဟာအမျိုးသမီးတွေထက်ပိုကောင်းတဲ့နိုင်ငံရေးခေါင်းဆောင်တွေပါ။,တက္ကသိုလ်ပညာရေးသည်မိန်းကလေးထက်ကောင်လေးအတွက်ပိုအရေးကြီးသည်,စကားမစပ်အမျိုးသားတွေဟာအမျိုးသမီးတွေထက်စီးပွားရေးမှာပိုတော်တယ်။,"အောက်ပါဖော်ပြချက်အပေါ်သင်ဘယ်လိုခံစားရလဲ၊ဒီစကေးကိုသုံးပြီးသင်ဘယ်လောက်ပြင်းထန်စွာသဘောတူ(သို့)သဘောမတူလဲဆိုတာဖော်ပြပါ။: 
1 - ခိုင်မာစွာသဘောတူ
2 - သဘောတူတယ်
3 - သဘောမတူနိုင်၊သဘောမတူနိုင် 
4 - သဘောထားကွဲလွဲ
5 - ပြင်းပြင်းထန်ထန်သဘောထားကွဲလွဲခြင်း

",အလုပ်ရှားပါးတဲ့အခါအမျိုးသားတွေဟာအမျိုးသမီးတွေထက်အလုပ်တစ်ခုအတွက်အခွင့်အရေးပိုရှိသင့်တယ်,"အောက်ပါလုပ်ဆောင်ချက်တစ်ခုစီကိုဖြေကြားပေးပါ၊အမြဲတမ်းတရားမျှတနိုင်တယ်လို့သင်ထင်တာဖြစ်ဖြစ်၊ဘယ်တော့မှတရားမျှတနိုင်မှာမဟုတ်တာဖြစ်ဖြစ်၊ဒီစကေးကိုအသုံးပြုခြင်းကြားကတစ်ခုခုဖြစ်ဖြစ်ပါ။
Rating 1 ကဘယ်တော့မှတရားမျှတမှုမရှိတာကိုဆိုလိုပြီး rating 10 ကတော့အမြဲတမ်းတရားမျှတမှုရှိတာကိုဆိုလိုတာပါ။ အဆင့် ၁ ကနေ ၅ အထိကအောက်ပါကြေညာချက်ဟာမမျှတဘူးလို့သင်ထင်တာကိုဆိုလိုတာပါ။ ၆ ကနေ ၁၀ အထိအဆင့်သတ်မှတ်ချက်ကအောက်ပါပြောဆိုချက်ဟာအတော်လေးတရားမျှတတယ်လို့သင်ထင်တာကိုဆိုလိုတာပါ။ သင်ဟာဒီလုပ်ဆောင်မှုကိုလုံးဝတရားမျှတတယ်(သို့)မမျှတဘူးလို့မထင်ရင် ၅ မှတ်(သို့)၆ မှတ်နဲ့အဆင့်သတ်မှတ်လိမ့်မယ်။",လိင်တူဆက်ဆံခြင်း ,ပြည့်တန်ဆာမှု ,ကိုယ်ဝန်ဖျက်ချခြင်း ,ကွာရှင်းခြင်း,အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း,သူ့ဇနီးကိုရိုက်နှက်ဖို့ ,
NLD,528,nl,"Geef voor elk van de volgende uitspraken aan hoe sterk u het eens of oneens bent met 
elk van hen gebruikt deze schaal: 
1 - Helemaal mee eens
2 - Mee eens
3 - Niet mee eens
4 - Helemaal niet mee eens

",Over het geheel zijn mannen betere politieke leiders dan vrouwen,Een universitaire opleiding is belangrijker voor een jongen dan voor een meisje,Over het geheel genomen zijn mannen betere topmanagers dan vrouwen,"Geef aan hoe je je voelt over de volgende stelling, geef aan hoe sterk je het eens of oneens bent met behulp van deze schaal:
1 - Helemaal mee eens
2 - Mee eens
3 - Niet mee eens / niet mee oneens
4 - Oneens
5 - Helemaal oneens


","Wanneer banen schaars zijn, hebben mannen meer recht op een baan dan vrouwen","Antwoord over elk van de volgende acties, of je denkt dat het altijd kan worden gerechtvaardigd, kan nooit worden gerechtvaardigd, of iets daartussenin met behulp van deze schaal:
Rating 1 betekent nooit gerechtvaardigd, rating 10 betekent altijd gerechtvaardigd. Beoordelingen van 1 tot 5 betekenen dat je denkt dat de volgende verklaring nogal ongerechtvaardigd is. Beoordelingen van 6 tot 10 betekenen dat je denkt dat de volgende verklaring heel gerechtvaardigd is. Je zou de actie met 5 of 6 punten beoordelen als je denkt dat de actie niet precies gerechtvaardigd of niet te rechtvaardigen is.",Homoseksualiteit,Prostitutie,Abortus,Echtscheiding,Seks vóór het huwelijk,Dat een man zijn vrouw slaat,Vrije seks hebben
NZL,554,en,"For each of the following statements, indicate how strongly you agree or disagree with each of them using this scale: 
1 - Agree strongly
2 - Agree
3 - Disagree
4 - Disagree strongly

","On the whole, men make better political leaders than women do",A university education is more important for a boy than for a girl,"On the whole, men make better business executives than women do","Indicate how you feel about the following statement, indicate how strongly you agree or disagree using this scale: 
1 - Agree strongly
2 - Agree
3 - Neither agree nor disagree 
4 - Disagree
5 - Disagree strongly


","When jobs are scarce, men should have more rights to a job than women","Please answer about each of the following actions, whether you think it can always be justified, can never be justified, or something in between using this scale:
Rating 1 means never justifiable, rating 10 means always justifiable. Ratings from 1 to 5 mean that you think the following statement is rather unjustifiable. Ratings from 6 to 10 mean that you think the following statement is rather justifiable. You would rate the action with a 5 or 6 points mark if you do not think the action is exactly justifiable or unjustifiable.
",Homosexuality,Prostitution,Abortion,Divorce,Sex before marriage,For a man to beat his wife,Having casual sex
NIC,558,es,"Para cada una de las siguientes afirmaciones, indique qué tan de acuerdo o en desacuerdo está con cada una de ellas utilizando esta escala: 
1-Muy de acuerdo
2-De acuerdo
3-En desacuerdo
4-Muy en desacuer do

","En general, los hombres son mejores líderes políticos que las mujeres",Una educación universitaria es más importante para un hombre que para una mujer,"En general, los hombres son mejores ejecutivos de empresas que las mujeres","Indique cómo se siente acerca de la siguiente declaración, indique qué tan de acuerdo o en desacuerdo está usando esta escala: 
1-Estoy totalmente de acuerdo
2-De acuerdo
3-Ni de acuerdo ni en desacuerdo 
4-En desacuerdo
5-Fuertemente en desacuerdo

","Cuando los puestos de trabajo escasean, los hombres deberían tener más derecho que las mujeres a un puesto de trabajo","Responda sobre cada una de las siguientes acciones, ya sea que crea que siempre se puede justificar, que nunca se puede justificar o algo intermedio al usar esta escala:
Calificar 1 significa nunca justificable, calificar 10 significa siempre justificable.  Las calificaciones del 1 al 5 significan que crees que la siguiente afirmación es bastante injustificable. Las calificaciones del 6 al 10 significan que crees que la siguiente afirmación es bastante justificable. Calificaría la acción con una puntuación de 5 o 6 puntos si no cree que la acción sea exactamente justificable o injustificable.",La homosexualidad,La prostitución,El aborto,El divorcio,Relaciones sexuales antes del matrimonio,Que un hombre maltrate a su esposa,Tener una relación sexual casual
NGA,566,ha,"Ga kowane bayanan da ke gaba, nuna yadda kuka yarda sosai ko sabani da kowane ɗayansu ta amfani da wannan sikelin:
1 Yarda kwarai
2 Yarda
3 Rashin yarda
4 Rashin yarda kwarai

","A baki daya, maza sunfi mata zama shuwagaban nin siyasa na gari",Ilimin jami’a yafi zama mafi muhimmanci akan yaro namiji da yarinya mace,"A baki daya, maza sunfi mata zama shuwagabannin wuraren kasuwanci masu kyau/nagari.","Nuna yadda kake ji game da wannan bayani, nuna yadda ka yarda sosai ko sabani ta amfani da wannan sikelin:
1 Yarda 
2 Ina tsaka tsaki
3 Rashin yarda


","Idan aiyuka sunyi karanci, ya dace maza su fara samun aiki kafin mata","Da fatan za a amsa ga kowane ɗayan waɗannan ayyuka, ko kuna tsammanin koyaushe zai iya barata ne, ba zai taɓa zama baratacce ba, ko wani abu a tsakani ta amfani da wannan sikelin.
Rating 1 yana nufin ba ya zama mai yiwuwa, kimanin 10 yana nufin koyaushe ba koyaushe. An ba da tabbacin bayani mai zuwa ba wanda ba shi da tabbas. An dakatar da shi daga 6 zuwa 10 yana nufin cewa kuna tunanin sanarwa mai zuwa ba ta zama majiɓinci ba. Kuna iya ƙididdige aikin tare da maki 5 ko 6 idan baku tsammanin aikin daidai ne ko kuma ba wanda ya yarda.",Luwadi,Karuwanci,Zubar da ciki,Sakin aure,Yin jima’I kafin aure,"Miji ya duki matarsae
",Yin zina ta ganin dama ba tare da wata kariya ba
NGA,566,ig,"Maka nkwupụta ndị a, na-egosi na ị ga - ekwenye ma ọ bụ kwenye na nke ọ bụla n'ime ha na - eji ọnụ ọgụgụ a 
1 - Kwenye ekwenye
2 - Kwere
3 - Emezigharị
4 - O siri ike nghọta","N'ikpeazụ, ndị ikom na-eme ka ndị isi ọchịchị karịa ndị inyom gụọ na koodu otu azịza
",Mmụta mahadum dị mkpa maka nwata karịa maka nwa agbọghọ gụọ na koodu otu azịza,"N'ikpeazụ, ndị ikom na-eme ka ụlọ ọrụ achụmnta ego ka mma karịa ụmụ nwanyị","-

","Mgbe ọrụ dị ụkọ, ụmụ nwoke kwesịrị inwe ikike karịa ọrụ karịa nwanyi","Biko zaa ihe ndị a na-eme, ma ị chere na ọ ga-abụ ihe ziri ezi mgbe niile, enweghị ike ikwu eziokwu, ma ọ bụ ihe dị n'etiti site na iji usoro a.
Rating 1 pụtara na ọ ga-abụ ihe ziri ezi, ọkwa 10 pụtara mgbe niile. Ratings sitere na 1 ruo 5 ọ pụtara na ị chere nkwupụta ndị a bụ ihe naezighi ezi. Ngosipụta sitere na 6 ruo 10 ọ pụtara na ị chere nkwupụta ndị a bụ ihe ziri ezi. Would ga-egosi ihe ahụ na akara 5 ma ọ bụ 6 ma ọ bụrụ na ịnweghị uche na ihe a bụ eziokwu ma ọ bụ na-ezighi ezi.",Nwoke idina nwoke,Ịgba akwụna,Mwepu,"ịgba alụkwaghịm, alukwaghim",Mmekọahụ Tupu Alụmdi na Nwunye,N'ihi na nwoke ka ọ ghaata nwunye ya,Inwe Mmekọahụ Ọ Bụ
NGA,566,yo,"Fun ọkọọkan awọn alaye atẹle, tọka bi o ṣe gba tabi gba pẹlu ọkọọkan wọn nipa lilo iwọn yii:
1 - Mo faramo gidi 
2 - Mo faramo 
3 - N ko faramo 
4 - N ko faramo rara

","Lapapo, awon okunrin dara ni asaaju oloselu ju awon obinrin",Ikekoo gboye ni ile iwe giga fasiti se Pataki fun omokunrin ju omobinrin,"Lapapo, awon okunrin maa n dara ni asaaju nibi owo sise ju awon obinrin","Tọkasi bi o ṣe rilara nipa alaye ti o tẹle, tọka bi o ṣe lagbara tabi gba lilo iwọn yii:
1 - Mo faramo gidi 
2 - Mo faramo 
3 - N ko faramo


","Nigba ti ise ba sowon, o ye ki awon okunrin ni eto si ise ju awon obirin","Jọwọ dahun nipa ọkọọkan awọn iṣe atẹle, boya o ro pe o le jẹ idalare nigbagbogbo, ko le gbagbọ, tabi nkankan ni laarin lilo iwọn yii.
Rating 1 tumọ si rara rara, oṣuwọn 10 tumọ si nigbagbogbo ti o jẹ otitọ nigbagbogbo. Awọn oṣuwọn lati 1 si 5 tumọ si pe o ro pe alaye ti o tẹle jẹ dipo ailorukọ. Awọn oṣuwọn lati 6 si 10 tumọ si pe o ro pe alaye ti o tẹle jẹ dipo idalafia. Iwọ yoo ṣe oṣuwọn igbese pẹlu ami 5 tabi 6 ami ti o ko ba ro pe igbese naa jẹ idalafia ti o lagbara gangan tabi alailoriire.",,,,,,,
NGA,566,en,"For each of the following statements, indicate how strongly you agree or disagree with each of them using this scale: 
1 - Agree strongly
2 - Agree
3 - Disagree
4 - Disagree strongly

","On the whole, men make better political leaders than women do",A university education is more important for a boy than for a girl,"On the whole, men make better business executives than women do","Indicate how you feel about the following statement, indicate how strongly you agree or disagree using this scale: 
1 - Agree strongly
2 - Agree
3 - Neither agree nor disagree 
4 - Disagree
5 - Disagree strongly


","When jobs are scarce, men should have more rights to a job than women","Please answer about each of the following actions, whether you think it can always be justified, can never be justified, or something in between using this scale:
Rating 1 means never justifiable, rating 10 means always justifiable. Ratings from 1 to 5 mean that you think the following statement is rather unjustifiable. Ratings from 6 to 10 mean that you think the following statement is rather justifiable. You would rate the action with a 5 or 6 points mark if you do not think the action is exactly justifiable or unjustifiable.
",Homosexuality,Prostitution,Abortion,Divorce,Sex before marriage,For a man to beat his wife,Having casual sex
PAK,586,ur,"مندرجہ ذیل بیانات میں سے ہر ایک کے لیے ، اس بات کی نشاندہی کریں کہ آپ کتنی مضبوطی سے متفق ہیں یا اس سے متفق نہیں ہیں 
ان میں سے ہر ایک اس پیمانے کا استعمال کرتے ہوئے: 
1 - مضبوطی سے اتفاق کریں
2 - اتفاق
3 - اختلاف
4 - سختی سے متفق نہ ہوں
",مجموعی طور پر ، مرد خواتین سے بہتر سیاسی رہنما بناتے ہیں,لڑکی کے مقابلے میں لڑکے کے لئے یونیورسٹی کی تعلیم زیادہ ضروری ہے ۔ ,مجموعی طور پر ، مرد خواتین کے مقابلے میں بہتر کاروباری ایگزیکٹوز بناتے ہیں,"اس بات کی نشاندہی کریں کہ آپ مندرجہ ذیل بیان کے بارے میں کیسا محسوس کرتے ہیں ، اس بات کی نشاندہی کریں کہ آپ اس پیمانے کا استعمال کرتے ہوئے کتنی مضبوطی سے متفق ہیں یا متفق نہیں ہیں: 
1 - مضبوطی سے اتفاق کریں
2 - اتفاق
3 - نہ متفق ہوں اور نہ متفق ہوں 
4 - اختلاف
5 - سختی سے متفق نہ ہوں

",جب ملازمتوں کی کمی ہوتی ہے تو ، مردوں کو خواتین کے مقابلے میں ملازمت کے زیادہ حقوق حاصل ہونے چاہئیں,"براہ کرم درج ذیل میں سے ہر ایک عمل کے بارے میں جواب دیں ، چاہے آپ کو لگتا ہے کہ یہ ہمیشہ جائز ہو سکتا ہے ، کبھی بھی جائز نہیں ہو سکتا ، یا اس پیمانے کو استعمال کرنے کے درمیان کوئی چیز:
درجہ بندی 1 کا مطلب ہے کبھی بھی جائز نہیں ، درجہ بندی 10 کا مطلب ہمیشہ جائز ہے ۔  1 سے 5 تک کی درجہ بندی کا مطلب یہ ہے کہ آپ کو لگتا ہے کہ مندرجہ ذیل بیان غیر معقول ہے ۔  6 سے 10 تک کی درجہ بندی کا مطلب یہ ہے کہ آپ کو لگتا ہے کہ مندرجہ ذیل بیان کافی جائز ہے ۔  اگر آپ کو نہیں لگتا کہ کارروائی بالکل جائز یا بلاجواز ہے تو آپ 5 یا 6 پوائنٹس کے نشان کے ساتھ کارروائی کی درجہ بندی کریں گے ۔ ",ہم جنس پرستی,جسم فروشی,اسقاط حمل,طلاق,شادی سے پہلے جنسی تعلقات,ایک آدمی کے لئے اپنی بیوی کو شکست دینے کے لئے,آرام دہ اور پرسکون جنسی تعلق
