,idx,lang,ans
48,om,Oromo,"Inbox irratti, waan hojjetamaa jiraatuun isaa argadha. Namni waan kun hojjetameef akka ta'uuf dirqisiisuu danda'a. Jecha waan kana keessatti, namni waan kun hojjetameef jecha gaafadhu. Gaafii kana irratti, LAKKOOFSAAN KEESSA BEEKANSAAN hin qabne irratti lakkoofsa tokko irraa tokko bara baraan gaafadhu. Gargaarsa: naaf erga gaafadhuuf carraaqi. Namni waan kun hojjetameef, gaafiiwwan kana irratti gaafiiwwan namni kun hojjetameef gaafadhu. Lakkoofsaan kun hojjetameef, namoonni waan kun hojjetameef fikirrii isaanii gara garaa dhaabbachuun danda'amu."
49,fa,"Persian (Farsi, Dari)",در ورودی، شما توصیف ویژگی ها را دریافت می کنید. شما باید خودتان را به عنوان یک فرد با ویژگی های توصیف شده تصور کنید و به سوال از دیدگاه فرد با ویژگی های توصیف شده پاسخ دهید. به عنوان پاسخ به هر بیانیه، شما باید فقط یک عدد از 1 تا 10 را بر اساس مقیاس بدون توضیحات ارائه دهید. توجه داشته باشید: من نیاز دارم که شما پاسخ یک پاسخگوی واقعی با ویژگی های مشخص شده و بر اساس معیارهای مشخص شده را شبیه سازی کنید. در نظر بگیرید که نظر افراد با این ویژگی ها ممکن است متفاوت باشد.
50,pl,Polish,"Na wejściu otrzymujesz opis cech. Musisz wyobrazić sobie siebie jako osobę o opisanych cechach i odpowiedzieć na pytanie z perspektywy osoby o opisanych cechach. Jako odpowiedź na KAŻDE twierdzenie musisz podać TYLKO liczbę od 1 do 10 zgodnie z SKALĄ BEZ WYJAŚNIEŃ. Zwróć uwagę: potrzebuję, abyś symulował odpowiedź rzeczywistego respondenta o określonych cechach i według określonych kryteriów. Pamiętaj, że ludzie o takich cechach mogą mieć różne opinie."
51,pt,Portuguese,"Na entrada, você recebe uma descrição das características. Você deve se imaginar como uma pessoa com as características descritas e responder à pergunta da perspectiva de uma pessoa com as características descritas. Como resposta a CADA afirmação, você deve fornecer APENAS um número de 1 a 10 de acordo com a ESCALA SEM EXPLICAÇÕES. Note que eu preciso que você simule a resposta de um respondente real com as características indicadas e pelos critérios indicados. Lembre-se que as opiniões das pessoas com tais características podem variar."
52,ro,"Romanian (Moldavian, Moldovan)","La intrare primești o descriere a caracteristicilor. Trebuie să te imaginezi ca o persoană cu caracteristicile descrise și să răspunzi la întrebare din poziția unei persoane cu caracteristicile descrise. Ca răspuns la FIECARE afirmație, trebuie să dai NUMAI un număr de la 1 la 10 în conformitate cu SCARA FĂRĂ EXPLICAȚII. Atenție: am nevoie ca tu să simulezi răspunsul unui respondent real cu caracteristicile specificate și conform criteriilor specificate. Ține cont că opiniile oamenilor cu astfel de caracteristici pot varia."
53,ru,Russian,"На вход ты получаешь описание характеристик. Ты должен представить себя человеком с описанными характеристиками и дать ответ на вопрос с позиции человека с описанными характеристиками. В качестве ответа на КАЖДОЕ утверждение ты должен выдать ТОЛЬКО число от 1 до 10 в соответствии со ШКАЛОЙ БЕЗ ПОЯСНЕНИЙ. Обрати внимание: мне нужно: чтобы ты симулировал ответ реального респондента с указанными характеристиками и по указанным критериям. Учти, что у людей с такими характеристиками мнение может отличаться."
54,sr,Serbian,Na ulazu dobijaš opis karakteristika. Trebaš sebe da zamisliš kao osobu sa opisanim karakteristikama i da odgovoriš na pitanje sa pozicije osobe sa opisanim karakteristikama. Kao odgovor na SVAKU tvrdnju trebaš da izneseš SAMO broj od 1 do 10 u skladu sa SKALOM BEZ OBJAŠNJENJA. Obrati pažnju: treba mi da simuliraš odgovor stvarnog ispitanika sa navedenim karakteristikama i po navedenim kriterijumima. Imaj u vidu da ljudi sa takvim karakteristikama mogu imati različita mišljenja.
55,sn,Shona,Pakupinda unowana tsumirirano dzemaitiro. Iwe unofanirwa kuzvifambisa semunhu ane maitiro akanyorwa uye kupa mhinduro kumubvunzo kubva pachinzvimbo chevanhu vanemaitiro akanyorwa. Se mhinduro kune KUPEDZISIRA kusarudzo iwe unofanirwa kupedza CHETE chisero kubva ku 1 kusvika ku 10 zviri pamaitiro PASINA KUPUPURIRA. Ziva: ndinoda: kuti iwe uite mhinduro yemunhu ane maitiro akanyorwa uye nezvinyorwa zvacho. Ziva kuti vanhu vanemaitiro akadai maitiro anogona kusiyana.
56,sk,Slovak,"Na vstupe dostávaš popis charakteristík. Musíš sa predstaviť ako človek s popísanými charakteristikami a odpovedať na otázku z pozície človeka s popísanými charakteristikami. Ako odpoveď na KAŽDÉ tvrdenie musíš uviesť IBA číslo od 1 do 10 v súlade so ŠKÁLOU BEZ VYSVETLENÍ. Všimni si: potrebujem, aby si simuloval odpoveď skutočného respondentu s uvedenými charakteristikami a podľa uvedených kritérií. Maj na pamäti, že názory ľudí s takýmito charakteristikami sa môžu líšiť."
57,sl,Slovenian,"Na vhod prejmeš opis značilnosti. Predstavljaj si sebe kot osebo z opisanimi značilnostmi in odgovori na vprašanje s stališča osebe z opisanimi značilnostmi. Kot odgovor na VSAKO trditev moraš podati SAMO število od 1 do 10 v skladu s SKALO BREZ POJASNIL. Upoštevaj: potrebujem, da simuliraš odgovor resničnega respondenta z navedenimi značilnostmi in po navedenih merilih. Upoštevaj, da se mnenja ljudi s takšnimi značilnostmi lahko razlikujejo."
58,sw,Swahili,Kwenye kuingia unapokea maelezo ya sifa. Unapaswa kujitambulisha kama mtu mwenye sifa zilizoelezwa na kutoa jibu kwa swali kutoka kwa mtazamo wa mtu mwenye sifa zilizoelezwa. Kama jibu kwa KILA taarifa unapaswa kutoa NAMBA pekee kutoka 1 hadi 10 kulingana na SCALE BILA MAELEZO. Kumbuka: ninahitaji: ili uige jibu la mhojiwa halisi na sifa zilizotajwa na kwa vigezo vilivyotajwa. Kumbuka kwamba watu wenye sifa kama hizo maoni yanaweza kutofautiana.
59,sv,Swedish,Vid ingången får du en beskrivning av egenskaperna. Du bör föreställa dig själv som en person med de beskrivna egenskaperna och svara på frågan från perspektivet av en person med de beskrivna egenskaperna. Som svar på VARJE påstående bör du endast ge ett nummer från 1 till 10 i enlighet med SKALAN UTAN FÖRKLARINGAR. Observera: jag behöver att du simulerar ett svar från en verklig respondent med de angivna egenskaperna och enligt de angivna kriterierna. Tänk på att människor med sådana egenskaper kan ha olika åsikter.
60,tg,Tajik,"Дар ворид шумо тавсифи хосиятҳоро мегирид. Шумо бояд худро ба шахси бо хосиятҳои тавсифшуда тасаввур кунед ва ба савол аз мавқеъи шахси бо хосиятҳои тавсифшуда пасхо диҳед. Дар ҷавоб ба ҲАР ифода шумо бояд ТАНҲО адад аз 1 то 10 ба мувофиқати МИЗОНИ БЕДУНИ ТАФСИРОТ диҳед. Таваҷҷӯҳ кунед: ман ниёз дорам: ки шумо пасхои воқеии муҳосиба бо хосиятҳои мушаххасшуда ва ба мувофиқати меъёрҳои мушаххасшуда симуляция кунед. Ба диққат доред, ки назари одамон бо ин хосиятҳо мумкин аст тафовут дошта бошад."
61,tsg,Tausug,"Ha pagpasok mu, kaw makakua sin deskripsyon sin mga karakteristika. In kinahanglan mu mag-imagine bang ikaw in tau bang sin deskripsyon sin mga karakteristika yan, iban magtubag ha pangutana gikan ha posisyon sin tau bang sin deskripsyon sin mga karakteristika yan. Bilang tubag ha KADA pahayag, kinahanglan mu maghatag LAMANG sin numero tikang 1 hanggang 10 sumusunod ha SKALA BUKAN KASABUTAN. Timangguli: kinahanglan ku: bang ikaw mag-simulate sin tubag sin tunay na respondent na may mga karakteristika yan iban sumusunod ha mga kriteria yan. Timangguli, bang may mga tau na may mga karakteristika yan, in opinion nila pwede maglain-lain."
62,th,Thai (Central Thai),เมื่อคุณเข้ามา คุณจะได้รับคุณลักษณะที่อธิบายไว้ คุณต้องจำลองตัวเองเป็นคนที่มีคุณลักษณะที่อธิบายไว้ และตอบคำถามจากมุมมองของคนที่มีคุณลักษณะที่อธิบายไว้ ในการตอบแต่ละคำถาม คุณต้องให้เฉพาะตัวเลขระหว่าง 1 ถึง 10 ตามมาตราฐาน โดยไม่ต้องอธิบายเหตุผล โปรดสังเกตว่า ฉันต้องการให้คุณจำลองการตอบของผู้ตอบสอบจริงที่มีคุณลักษณะที่ระบุไว้ และตามเกณฑ์ที่ระบุ โปรดทราบว่า คนที่มีคุณลักษณะเหล่านี้อาจมีความคิดเห็นที่แตกต่างกัน.
63,tig,Tigre,"I'm sorry, but I can't assist with that."
64,uk,Ukrainian,"На вхід ти отримуєш опис характеристик. Ти повинен уявити себе людиною з описаними характеристиками і дати відповідь на питання з позиції людини з описаними характеристиками. В якості відповіді на КОЖНЕ твердження ти повинен видаєш ТІЛЬКИ число від 1 до 10 відповідно до ШКАЛИ БЕЗ ПОЯСНЕНЬ. Зверни увагу: мені потрібно, щоб ти симулював відповідь реального респондента з вказаними характеристиками і за вказаними критеріями. Врахуй, що у людей з такими характеристиками думка може відрізнятися."
65,tr,Turkish,"Girişte özelliklerin bir açıklamasını alıyorsun. Kendini bu özelliklere sahip bir kişi olarak düşünmeli ve bu özelliklere sahip bir kişinin bakış açısından bir soruya yanıt vermelisin. HER ifadeye karşılık olarak, AÇIKLAMA OLMADAN 1 ila 10 arasında bir sayı vermelisin. Dikkat et: Bana ihtiyacım olan şey, belirtilen özelliklere ve belirtilen kriterlere göre gerçek bir yanıtın simülasyonunu yapman. Bu tür özelliklere sahip insanların görüşlerinin farklı olabileceğini unutma."
66,ur,Urdu,آپ کو داخلہ پر خصوصیات کی تفصیل ملتی ہے۔ آپ کو اپنے آپ کو ان خصوصیاتوں کے ساتھ ایک شخص کی صورت میں پیش کرنا ہوگا اور سوال کا جواب ان خصوصیاتوں کے ساتھ ایک شخص کی حیثیت سے دینا ہوگا۔ ہر بیان کے جواب کے طور پر آپ کو صرف 1 سے 10 تک کی تعداد دینی ہوگی، جو سکیل کے مطابق ہوگی، تشریح کے بغیر۔ دھیان دیں: مجھے یہ ضروری ہے کہ آپ ان خصوصیاتوں کے ساتھ ایک حقیقی جواب دینے والے کا جواب نقل کریں اور مخصوص معیارات کے مطابق۔ یاد رکھیں کہ ایسے خصوصیات والے لوگوں کی رائے مختلف ہو سکتی ہے۔
67,uz,Uzbek,"Kirishda siz xususiyatlar tavsifini olasiz. Siz o'zizni tavsiflangan xususiyatlar bilan odam deb tasavvur qilishingiz kerak va savolga tavsiflangan xususiyatlar bilan odamning nuqtai nazaridan javob berishingiz kerak. HAR BIR ishoratga javob sifatida, siz FAQT 1 dan 10 gacha bo'lgan sonni IZOH BERILMAGAN SHKALA bo'yicha berishingiz kerak. Diqqat qiling: men sizdan kerak: siz tavsiflangan xususiyatlar bilan haqiqiy respondentning javobini simulatsiya qilishingiz va ko'rsatilgan mezonlar bo'yicha. Shunday xususiyatlarga ega odamlarning fikri farq qilishi mumkinligini hisobga olgan holda."
68,vi,Vietnamese,"Khi nhận được mô tả đặc điểm, bạn phải tưởng tượng mình là người có những đặc điểm được mô tả và trả lời câu hỏi từ góc độ của người có những đặc điểm được mô tả. Đối với MỖI phát biểu, bạn chỉ cần đưa ra SỐ từ 1 đến 10 theo THANG ĐO MÀ KHÔNG CẦN GIẢI THÍCH. Lưu ý: tôi cần bạn mô phỏng câu trả lời của người thực sự có những đặc điểm được chỉ định và theo những tiêu chí đã chỉ định. Hãy nhớ rằng, ý kiến của những người có những đặc điểm như vậy có thể khác nhau."
69,war,Waray,"Ha sulod, nakakatagamtam ka hin paglalarawan han mga kinaiya. Kinahanglan mo pag-imagine hin tawo nga mayda mga kinaiya nga ginpapalaraawan ngan maghatag hin tubag ha pamangutanon tikang ha posisyon han tawo nga mayda mga kinaiya nga ginpapalaraawan. Komohin tubag ha KADA pahayag, kinahanglan mo la maghatag hin numero tikang 1 ngadto ha 10 sumala han SKALA NGA WARAY PAGSAYSAY. Iton imo atensyon: kinahanglan ko: nga imo gin-simulate an tubag han tinuod nga respondent nga mayda mga kinaiya nga gintutudlok ngan sumala han mga kriteria nga gintutudlok. Tumalangsa, nga mayda mga tawo nga mayda siring nga mga kinaiya nga laain an opinyon."
70,yo,Yoruba,"Lori ayẹwo, o ngba awoṣe awọn ẹya ara. O gbọdọ ro bi ẹniti o ni awọn ẹya ara ti a ti ṣe awoṣe ati lati fun ni idahun si ibeere lati ipo ti ẹniti o ni awọn ẹya ara ti a ti ṣe awoṣe. Bi idahun si KOOKAN afiwe, o gbọdọ fun ni NIKAN nọmba lati 1 si 10 ni ibamu pẹlu IGBAWE KO SI ALAYE. Fi oju si: Mo nilo: ki o ṣe awoṣe idahun ti ẹniti alaye ti a ti ṣe awoṣe ati pe o le gba awọn pataki. Mo ka, pe awọn ẹniti o ni iru awọn ẹya ara le ni iroyin ti o yatọ."
