,idx,lang,0,1,2,3,4,5,6,7,8,-1,-5,-2
34,id,Indonesian,Tingkat pendidikan tertinggi yang telah Anda capai adalah pendidikan anak usia dini / tidak ada pendidikan.,Tingkat pendidikan tertinggi yang telah Anda capai adalah pendidikan dasar.,Tingkat pendidikan tertinggi yang telah Anda capai adalah pendidikan menengah pertama.,Tingkat pendidikan tertinggi yang telah Anda capai adalah pendidikan menengah atas.,Tingkat pendidikan tertinggi yang telah Anda capai adalah pendidikan pasca-sekolah menengah non-tersier.,Tingkat pendidikan tertinggi yang telah Anda capai adalah pendidikan tinggi siklus pendek.,Tingkat pendidikan tertinggi yang telah Anda capai adalah sarjana atau setara.,Tingkat pendidikan tertinggi yang telah Anda capai adalah magister atau setara.,Tingkat pendidikan tertinggi yang telah Anda capai adalah doktoral atau setara.,,,
35,it,Italian,Il livello più alto di istruzione che hai raggiunto è l'istruzione della prima infanzia / nessuna istruzione.,Il livello più alto di istruzione che hai raggiunto è l'istruzione primaria.,Il livello più alto di istruzione che hai raggiunto è l'istruzione secondaria inferiore.,Il più alto livello di istruzione che hai raggiunto è l'istruzione secondaria superiore.,Il livello più alto di istruzione che hai raggiunto è l'istruzione post-secondaria non terziaria.,Il livello più alto di istruzione che hai raggiunto è l'istruzione terziaria di ciclo breve.,Il livello più alto di istruzione che hai raggiunto è la laurea o equivalente.,Il livello di istruzione più alto che hai raggiunto è master o equivalente.,Il livello più alto di istruzione che hai raggiunto è dottorato o equivalente.,,,
36,ja,Japanese,あなたが達成した最高の教育レベルは、幼児教育または教育を受けていないことです。,あなたが達成した最高の教育レベルは初等教育です。,あなたが達成した最高の教育レベルは中等教育前期です。,あなたが達成した最高の教育レベルは高等学校教育です。,あなたが達成した最高の教育レベルは、中等後非高等教育です。,あなたが達成した最高の教育レベルは短期高等教育です。,あなたが達成した最高の学歴は学士号または同等のものです。,あなたが達成した最高の教育レベルは修士または同等です。,あなたが達成した最高の学歴は博士号または同等のものです。,,,
37,kk,Kazakh,Сіздің алған ең жоғары біліміңіз - мектепке дейінгі білім / білім жоқ.,Сіздің қол жеткізген ең жоғары білім деңгейіңіз - бастауыш білім.,Сіздің алған ең жоғары біліміңіз - негізгі орта білім.,Сіздің алған ең жоғары біліміңіз - орта білімнен кейінгі білім.,Сіздің қол жеткізген ең жоғары білім деңгейіңіз - орта білімнен кейінгі жоғары білім емес.,Сіздің қол жеткізген ең жоғары білім деңгейіңіз - қысқа циклді жоғары білім.,Сіздің алған ең жоғары біліміңіз - бакалавр немесе оған тең.,Сіздің алған ең жоғары біліміңіз - магистр немесе оған тең.,Сіздің қол жеткізген ең жоғары білім деңгейіңіз - докторлық немесе оған тең.,,,
38,ky,Kirghiz (Kyrgyz),Сиз жетишкен билимдин эң жогорку деңгээли - бул эрте балалык билим берүү / билим алуу жок.,Сиз жетишкен билимдин эң жогорку деңгээли башталгыч билим берүү болуп саналат.,Сиз жетишкен билимдин эң жогорку деңгээли - орто билимдин төмөнкү баскычы.,Сиз жетишкен билимдин эң жогорку деңгээли - орто билимден кийинки билим.,"Сиз жетишкен билимдин эң жогорку деңгээли орто билимден кийинки, бирок жогорку билимге жетпеген билим болуп саналат.",Сиз жетишкен билимдин эң жогорку деңгээли - бул кыска мөөнөттүү жогорку билим.,Сиз жетишкен билимдин эң жогорку деңгээли бакалавр же ага барабар.,Сиз жетишкен билимдин эң жогорку деңгээли магистр же ага барабар.,Сиз жетишкен билимдин эң жогорку деңгээли - докторлук же ага барабар.,,,
39,zh,Chinese,您达到的最高教育水平是幼儿教育/无教育,您达到的最高教育水平是小学教育。,您达到的最高教育水平是初中教育。,您达到的最高教育水平是高中教育。,您所达到的最高教育水平是中等后非高等教育。,您所达到的最高教育水平是短周期高等教育。,您所获得的最高学历是学士或同等学历。,您达到的最高学历是硕士或同等学历。,您获得的最高学历是博士或同等学历。,,,
40,ko,Korean,귀하가 달성한 가장 높은 수준의 교육은 유아 교육 / 교육 없음입니다.,귀하가 달성한 최고 수준의 교육은 초등 교육입니다.,귀하가 달성한 최고 수준의 교육은 중등 교육 이하입니다.,귀하가 달성한 최고 수준의 교육은 고등학교 교육입니다.,귀하가 달성한 가장 높은 수준의 교육은 중등 후 비고등 교육입니다.,귀하가 달성한 가장 높은 수준의 교육은 단기 고등 교육입니다.,귀하가 달성한 최고 수준의 교육은 학사 학위 또는 이에 상응하는 것입니다.,귀하가 달성한 가장 높은 수준의 교육은 석사 또는 이에 상응하는 것입니다.,귀하가 달성한 최고 수준의 교육은 박사 학위 또는 이에 상응하는 것입니다.,,,
41,lt,Macedonian,Највисокото ниво на образование кое сте го постигнале е рано детско образование / без образование.,Највисокото ниво на образование што сте го постигнале е основно образование.,Највисокото ниво на образование што сте го постигнале е основно образование.,Највисокото ниво на образование што сте го постигнале е средно образование.,Највисокото ниво на образование што сте го постигнале е пост-средно нетерцијарно образование.,Највисокото ниво на образование што сте го постигнале е краток циклус на терцијарно образование.,Највисокото ниво на образование што сте го постигнале е диплома или еквивалентно.,Највисокото ниво на образование што сте го постигнале е магистер или еквивалентно.,Највисокото ниво на образование што сте го постигнале е докторско или еквивалентно.,,,
42,mk,Malay (Malaysian),Tahap pendidikan tertinggi yang telah anda capai ialah pendidikan awal kanak-kanak / tiada pendidikan.,Tahap pendidikan tertinggi yang telah anda capai ialah pendidikan rendah.,Tahap pendidikan tertinggi yang telah anda capai ialah pendidikan menengah rendah.,Tahap pendidikan tertinggi yang telah anda capai ialah pendidikan menengah atas.,Tahap pendidikan tertinggi yang telah anda capai ialah pendidikan pasca menengah bukan tertiari.,Tahap pendidikan tertinggi yang telah anda capai ialah pendidikan tinggi kitaran pendek.,Tahap pendidikan tertinggi yang telah anda capai ialah ijazah sarjana muda atau setaraf.,Tahap pendidikan tertinggi yang telah anda capai adalah sarjana atau setaraf.,Tahap pendidikan tertinggi yang telah anda capai adalah kedoktoran atau setaraf.,,,
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",您所达到的最高教育水平是幼儿教育/无教育。,您达到的最高教育水平是小学教育。,您达到的最高教育水平是初中教育。,您达到的最高教育水平是高中教育。,您达到的最高教育水平是中等后非高等教育。,您达到的最高教育水平是短期高等教育。,您获得的最高学历是学士或同等学历。,您达到的最高学历是硕士或同等学历。,您所达到的最高学历是博士或同等学历。,,,
44,mn,Mongolian,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь бага насны хүүхдийн боловсрол / боловсролгүй.,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь бага боловсрол юм.,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь дунд боловсролын түвшнээс доогуур байна.,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь дунд боловсрол юм.,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь дунд боловсролын дараах дээд бус боловсрол юм.,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь богино хугацааны дээд боловсрол юм.,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь бакалавр эсвэл түүнтэй дүйцэхүйц байна.,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь магистр эсвэл түүнтэй дүйцэхүйц юм.,Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь докторын зэрэг эсвэл түүнтэй адилтгах түвшин юм.,,,
45,cnr,Montenegrin,Najviši nivo obrazovanja koji ste postigli je obrazovanje u ranom djetinjstvu / bez obrazovanja.,Najviši nivo obrazovanja koji ste postigli je osnovno obrazovanje.,Najviši nivo obrazovanja koji ste postigli je niže srednje obrazovanje.,Najviši nivo obrazovanja koji ste postigli je srednje obrazovanje.,Najviši nivo obrazovanja koji ste postigli je postsekundarno netercijarno obrazovanje.,Najviši nivo obrazovanja koji ste postigli je tercijarno obrazovanje kratkog ciklusa.,Najviši nivo obrazovanja koji ste postigli je diploma osnovnih studija ili ekvivalent.,Najviši nivo obrazovanja koji ste postigli je master ili ekvivalent.,Najviši nivo obrazovanja koji ste postigli je doktorski ili ekvivalentan.,,,
46,nd,North Ndebele,"The highest level of education you have achieved is early childhood education / no education can be translated to North Ndebele as: ""Izinga lemfundo eliphezulu kakhulu olifinyeleleleyo yimfundo yabantwana abancane / kawulatholi mfundo.""",Izinga eliphezulu lemfundo olifinyeleyo yimfundo yamabanga aphansi.,Izinga lemfundo eliphezulu owalifinyelela yikuphothula ibanga lesibili eliphansi.,Izinga lemfundo eliphezulu kakhulu olifezileyo yimfundo yamabanga aphezulu aphezulu.,Izinga lemfundo eliphezulu owalifinyelela yimfundo engaphezulu kwesekondari kodwa engasi-tertiary.,Izinga eliphezulu lemfundo oliphumelele yikufunda okwesikhashana emanyuvesi.,Izinga eliphezulu lemfundo olifezileyo yibachelor kumbe elifanana lalo.,Izinga eliphezulu lemfundo olifinyeleyo yi-master kumbe elifanana lalo.,"The highest level of education you have achieved is doctoral or equivalent can be translated to North Ndebele as: ""Izinga lemfundo eliphezulu kakhulu olifinyeleleleyo yikudokotela kumbe elifanana lalo.""",,,
47,no,Norwegian,Det høyeste utdanningsnivået du har oppnådd er førskoleutdanning / ingen utdanning.,Det høyeste utdanningsnivået du har oppnådd er grunnskoleutdanning.,Det høyeste utdanningsnivået du har oppnådd er ungdomsskole.,Det høyeste utdanningsnivået du har oppnådd er videregående opplæring.,Det høyeste utdanningsnivået du har oppnådd er post-sekundær ikke-tertiær utdanning.,Det høyeste utdanningsnivået du har oppnådd er kort syklus tertiær utdanning.,Det høyeste utdanningsnivået du har oppnådd er bachelor eller tilsvarende.,Det høyeste utdanningsnivået du har oppnådd er mastergrad eller tilsvarende.,Det høyeste utdanningsnivået du har oppnådd er doktorgrad eller tilsvarende.,,,
48,om,Oromo,Sadarkaa barnootaa olaanaa ati geessan barnoota daa'imman yookaan barnoota hin qabne dha.,Sadarkaa barnoota ol'aanaa ati galmeessite barnoota sadarkaa tokkoffaa dha.,Sadarkaa barnootaa olaanaa ati galmaan gahe barnoota sadarkaa lammaffaa gadi aanaa dha.,Sadarkaa barnootaa ol'aanaa ati galmeessite barnoota sadarkaa lammaffaa ol'aanaa dha.,Sadarkaa barnootaa ol'aanaa ati galmaan gahe barnoota boodanaa kan hin taanetti kan gahu dha.,Sadarkaa barnootaa ol'aanaa ati galmaan gahe barnoota ol'aanoo marsaa gabaabaa dha.,Sadarkaa barnoota olaanaa ati galmaan gahe digrii jalqabaa ykn kan wal fakkaatu dha.,Sadarkaa barnoota ol'aanaa ati galmeessiteef maasterii yookiin kan wal fakkaatu dha.,Sadarkaa barnootaa olaanaa ati galmaan gahe doktora ykn kan wal fakkaatu dha.,,,
49,fa,"Persian (Farsi, Dari)",بالاترین سطح تحصیلاتی که به دست آورده‌اید آموزش دوران کودکی / بدون تحصیلات است.,سطح بالاترین تحصیلاتی که شما به دست آورده‌اید، تحصیلات ابتدایی است.,سطح بالاترین تحصیلاتی که به دست آورده‌اید، آموزش متوسطه اول است.,بالاترین سطح تحصیلی که شما به آن دست یافته‌اید، آموزش متوسطه عالی است.,سطح بالاترین تحصیلاتی که به دست آورده‌اید، آموزش پس از متوسطه غیر دانشگاهی است.,بالاترین سطح تحصیلاتی که به دست آورده‌اید، آموزش عالی کوتاه‌مدت است.,بالاترین سطح تحصیلاتی که به دست آورده‌اید، لیسانس یا معادل آن است.,بالاترین سطح تحصیلاتی که شما به دست آورده‌اید، کارشناسی ارشد یا معادل آن است.,بالاترین سطح تحصیلاتی که به دست آورده‌اید دکترا یا معادل آن است.,,,
50,pl,Polish,"Najwyższy poziom wykształcenia, jaki osiągnąłeś, to edukacja wczesnoszkolna / brak wykształcenia.","Najwyższy poziom wykształcenia, jaki osiągnąłeś, to wykształcenie podstawowe.","Najwyższy poziom wykształcenia, jaki osiągnąłeś, to gimnazjum.","Najwyższy poziom wykształcenia, jaki osiągnąłeś, to wykształcenie średnie.","Najwyższy poziom wykształcenia, jaki osiągnąłeś, to wykształcenie policealne, ale nie wyższe.","Najwyższy poziom wykształcenia, jaki osiągnąłeś, to krótkiego cyklu kształcenie wyższe.","Najwyższy poziom wykształcenia, jaki osiągnąłeś, to licencjat lub równoważny.","Najwyższy poziom wykształcenia, jaki osiągnąłeś, to magister lub równoważny.","Najwyższy poziom wykształcenia, jaki osiągnąłeś, to doktorat lub równoważny.",,,
51,pt,Portuguese,O nível mais alto de educação que você alcançou é educação infantil / sem educação.,O nível mais alto de educação que você alcançou é o ensino primário.,O nível mais alto de educação que você alcançou é o ensino secundário inferior.,O nível mais alto de educação que você alcançou é o ensino secundário superior.,O nível mais alto de educação que você alcançou é a educação pós-secundária não terciária.,O nível mais alto de educação que você alcançou é a educação terciária de ciclo curto.,O nível mais alto de educação que você alcançou é bacharelado ou equivalente.,O nível mais alto de educação que você alcançou é mestrado ou equivalente.,O nível mais alto de educação que você alcançou é doutorado ou equivalente.,,,
52,ro,"Romanian (Moldavian, Moldovan)",Cel mai înalt nivel de educație pe care l-ați atins este educația timpurie / fără educație.,Cel mai înalt nivel de educație pe care l-ați atins este educația primară.,Cel mai înalt nivel de educație pe care l-ați atins este învățământul secundar inferior.,Cel mai înalt nivel de educație pe care l-ați atins este învățământul secundar superior.,Cel mai înalt nivel de educație pe care l-ați atins este educația post-secundară non-terțiară.,Cel mai înalt nivel de educație pe care l-ați atins este educația terțiară de scurtă durată.,Cel mai înalt nivel de educație pe care l-ați atins este licența sau echivalentul acesteia.,Cel mai înalt nivel de educație pe care l-ați atins este master sau echivalent.,Cel mai înalt nivel de educație pe care l-ați atins este doctoratul sau echivalentul acestuia.,,,
53,ru,Russian,"Наивысший уровень образования, которого вы достигли, - это дошкольное образование / отсутствие образования.","Наивысший уровень образования, которого вы достигли, - начальное образование.","Наивысший уровень образования, который вы достигли, — это неполное среднее образование.",Ваш самый высокий уровень образования — это среднее полное образование.,"Наивысший уровень образования, который вы достигли, - это послесреднее нетретичное образование.","Наивысший уровень образования, который вы достигли, - это короткий цикл высшего образования.","Наивысший уровень образования, который вы достигли, — это степень бакалавра или эквивалент.","Наивысший уровень образования, который вы достигли, - это магистр или эквивалент.","Наивысший уровень образования, который вы достигли, - это докторская степень или эквивалент.",,,
54,sr,Serbian,Najviši nivo obrazovanja koji ste postigli je rano obrazovanje u detinjstvu / bez obrazovanja.,Najviši nivo obrazovanja koji ste postigli je osnovno obrazovanje.,Najviši nivo obrazovanja koji ste postigli je niže srednje obrazovanje.,Najviši nivo obrazovanja koji ste postigli je srednje obrazovanje.,Najviši nivo obrazovanja koji ste postigli je postsekundarno netercijarno obrazovanje.,Najviši nivo obrazovanja koji ste postigli je kratki ciklus tercijarnog obrazovanja.,Najviši nivo obrazovanja koji ste postigli je diploma osnovnih studija ili ekvivalent.,Najviši nivo obrazovanja koji ste postigli je master ili ekvivalent.,Najviši nivo obrazovanja koji ste postigli je doktorski ili ekvivalentan.,,,
55,sn,Shona,Chikamu chepamusoro chedzidzo chawakawana idzidzo yepachikoro chevana vadiki / hapana dzidzo.,Chikamu chepamusoro chedzidzo chawakapedza idzidzo yepuraimari.,Chikamu chepamusoro chedzidzo chawakapedza idzidzo yepasi yepuraimari.,Chikamu chepamusoro chedzidzo chawakapedza chiri chepamusoro chepuraimari.,Chikamu chepamusoro chedzidzo chawakawana idzidzo yepamusoro-soro isiri yepayunivhesiti.,Chikamu chepamusoro chedzidzo chawakawana idzidzo yepamusoro pfupi.,Chikamu chepamusoro chedzidzo chawakawana ndeche bachelor kana chakafanana.,Chikamu chepamusoro chedzidzo chawakawana chiri master's kana chakaenzana nacho.,Chikamu chepamusoro chedzidzo chawakawana idzidzo yepamusoro kana yakaenzana.,,,
56,sk,Slovak,"Najvyššia úroveň vzdelania, ktorú ste dosiahli, je vzdelanie v ranom detstve / žiadne vzdelanie.","Najvyššia úroveň vzdelania, ktorú ste dosiahli, je základné vzdelanie.","Najvyššia úroveň vzdelania, ktorú ste dosiahli, je nižšie stredné vzdelanie.","Najvyššia úroveň vzdelania, ktorú ste dosiahli, je vyššie sekundárne vzdelanie.","Najvyššia úroveň vzdelania, ktorú ste dosiahli, je postsekundárne neterciárne vzdelanie.","Najvyššia úroveň vzdelania, ktorú ste dosiahli, je krátky cyklus terciárneho vzdelávania.","Najvyššia úroveň vzdelania, ktorú ste dosiahli, je bakalár alebo ekvivalent.","Najvyššia úroveň vzdelania, ktorú ste dosiahli, je magister alebo ekvivalent.","Najvyššia úroveň vzdelania, ktorú ste dosiahli, je doktorandská alebo ekvivalentná.",,,
57,sl,Slovenian,"Najvišja raven izobrazbe, ki ste jo dosegli, je predšolska vzgoja / brez izobrazbe.","Najvišja stopnja izobrazbe, ki ste jo dosegli, je osnovnošolska izobrazba.","Najvišja stopnja izobrazbe, ki ste jo dosegli, je nižja srednja izobrazba.","Najvišja raven izobrazbe, ki ste jo dosegli, je srednješolska izobrazba.","Najvišja raven izobrazbe, ki ste jo dosegli, je srednješolska izobrazba po zaključku srednje šole.","Najvišja raven izobrazbe, ki ste jo dosegli, je kratkociklična terciarna izobrazba.","Najvišja stopnja izobrazbe, ki ste jo dosegli, je diploma ali enakovredno.","Najvišja raven izobrazbe, ki ste jo dosegli, je magisterij ali enakovredno.","Najvišja raven izobrazbe, ki ste jo dosegli, je doktorska ali enakovredna.",,,
58,sw,Swahili,Kiwango cha juu zaidi cha elimu ulichofikia ni elimu ya awali / hakuna elimu.,Kiwango cha juu zaidi cha elimu ulichofikia ni elimu ya msingi.,Kiwango cha juu zaidi cha elimu ulichofikia ni elimu ya sekondari ya chini.,Kiwango cha juu zaidi cha elimu ulichofikia ni elimu ya sekondari ya juu.,Kiwango cha juu zaidi cha elimu ulichofikia ni elimu ya baada ya sekondari isiyo ya chuo kikuu.,Kiwango cha juu cha elimu ulichofikia ni elimu ya juu ya muda mfupi.,Kiwango cha juu zaidi cha elimu ulichofikia ni shahada ya kwanza au sawa na hiyo.,Kiwango cha juu zaidi cha elimu ulichofikia ni shahada ya uzamili au sawa na hiyo.,Kiwango cha juu zaidi cha elimu ulichofikia ni udaktari au sawa na hicho.,,,
59,sv,Swedish,Den högsta utbildningsnivån du har uppnått är förskoleutbildning / ingen utbildning.,Den högsta utbildningsnivån du har uppnått är grundskoleutbildning.,Den högsta utbildningsnivån du har uppnått är grundskola.,Den högsta utbildningsnivån du har uppnått är gymnasieutbildning.,Den högsta utbildningsnivån du har uppnått är eftergymnasial icke-tertiär utbildning.,Den högsta utbildningsnivån du har uppnått är kort cykel eftergymnasial utbildning.,Den högsta utbildningsnivån du har uppnått är kandidatexamen eller motsvarande.,Den högsta utbildningsnivån du har uppnått är master eller motsvarande.,Den högsta utbildningsnivån du har uppnått är doktorsexamen eller motsvarande.,,,
60,tg,Tajik,"Сатҳи баландтарини таҳсилоте, ки шумо ба даст овардаед, таҳсилоти ибтидоии кӯдакӣ / бе таҳсилот мебошад.","Сатҳи баландтарини таҳсилоте, ки шумо ба он расидаед, таҳсилоти ибтидоӣ мебошад.","Сатҳи баландтарини таҳсилоте, ки шумо ба даст овардаед, таҳсилоти миёнаи поёнӣ мебошад.","Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, таҳсилоти миёнаи олӣ мебошад.","Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, таҳсилоти баъд аз миёнаи ғайритретӣ мебошад.","Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, таҳсилоти олии кӯтоҳмуддат мебошад.","Сатҳи баландтарини таҳсилоте, ки шумо ба даст овардаед, бакалавр ё баробар ба он аст.","Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, магистр ё баробар ба он аст.","Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, докторӣ ё баробар ба он аст.",,,
61,tsg,Tausug,"Here is the translation of the text to Tausug: ""An pinaka mataas nga antas sin pag-aralan nga inabutan mu kay pag-aral ha kabataan / waray pag-aral.""","In Tausug, the translation would be: ""An pinaka mataas nga antas sin edukasyon nga inabutan mu in primarya nga edukasyon.""","In Tausug, the translation would be: ""An pinaka mataas nga antas sin edukasyon nga inabutan mu amo in pag-eskwela ha huli nga sekundarya.""","In Tausug, the translation would be: ""An pinaka mataas nga level sin imo edukasyon nga nakab-ot amo in hayskul.""","Here is the translation of the text to Tausug: ""An pinaka-mataas nga antas sin edukasyon nga inabut mo amo in post-secondary non-tertiary education.""","In Tausug, the translation would be: ""An pinaka mataas nga antas sin pag-iskwela nga inabutan mu in maasag kauman nga pag-iskwela ha kolehiyo.""","Here is the translation of the text to Tausug: ""An pinaka-mataas nga antas sin edukasyon nga inabutan mu amo in bachelor o kaparehas.""",The pinaka-taas nga antas sin edukasyon nga in-abut mu amo in master o kapareho.,"In Tausug, the translation would be: ""An pinaka-hitaas nga antas sin edukasyon nga inabutan mu amo in doctoral o kaparehas.""",,,
62,th,Thai (Central Thai),ระดับการศึกษาสูงสุดที่คุณสำเร็จคือการศึกษาปฐมวัย / ไม่มีการศึกษา,ระดับการศึกษาสูงสุดที่คุณสำเร็จคือการศึกษาระดับประถมศึกษา,ระดับการศึกษาสูงสุดที่คุณสำเร็จคือมัธยมศึกษาตอนต้น,ระดับการศึกษาสูงสุดที่คุณสำเร็จคือการศึกษาระดับมัธยมศึกษาตอนปลาย,ระดับการศึกษาสูงสุดที่คุณสำเร็จคือการศึกษาหลังมัธยมศึกษาที่ไม่ใช่อุดมศึกษา,ระดับการศึกษาสูงสุดที่คุณสำเร็จคือการศึกษาระดับอุดมศึกษาระยะสั้น,ระดับการศึกษาสูงสุดที่คุณสำเร็จคือปริญญาตรีหรือเทียบเท่า,ระดับการศึกษาสูงสุดที่คุณสำเร็จคือปริญญาโทหรือเทียบเท่า,ระดับการศึกษาสูงสุดที่คุณสำเร็จคือปริญญาเอกหรือเทียบเท่า,,,
63,tig,Tigre,The highest level of education you have achieved is early childhood education / no education can be translated to Tigre as: ክፍሊ ትምህርቲ ኣብ ምሉእ ዝበለካ ደረጃ ንእሽቶ ወይ ዝነበርካ ትምህርቲ የለን።,"The highest level of education you have achieved is primary education.

ብዝሒ ደረጃ ኣብ ትምህርቲ ዝተዓገብካ ኣብ መባእታ ትምህርቲ እዩ።",ናይ ትምህርቲ ኣዕማደ ዝበለካ ደረጃ ንዑስ ማእከላይ ትምህርቲ እዩ።,The highest level of education you have achieved is upper secondary education.,The highest level of education you have achieved is post-secondary non-tertiary education.,"The highest level of education you have achieved is short-cycle tertiary education.

In Tigre, this can be translated as: ኣብ ምሉእ ደረጃ ትምህርቲ ንምርካብ ዝበለካ ደረጃ ኣብ ኣቕሑ ናይ ኣቕሑ ደረጃ ኣለኻ።",እቲ ኣዝዩ ደረጃ ናይ ትምህርቲ ንምርካብ ዝገብርካ ዲግሪ ወይ እተመሳሰሉ እዩ።,ዝተረፈካ ኣብ ትምህርቲ ዝለውጠ ደረጃ ማስተር ወይ ከምቲ ዝኾነ እዩ።,"The translation of the text ""The highest level of education you have achieved is doctoral or equivalent"" to Tigre is:

ክፋል ኣብ ትምህርቲ ዝበለጸካ ደረጃ ዶክተራ ወይ ምስማዕታዊ እዩ።",,,
64,uk,Ukrainian,"Найвищий рівень освіти, якого ви досягли, - це дошкільна освіта / відсутність освіти.","Найвищий рівень освіти, якого ви досягли, - це початкова освіта.","Найвищий рівень освіти, якого ви досягли, - це базова середня освіта.","Найвищий рівень освіти, якого ви досягли, - це повна середня освіта.","Найвищий рівень освіти, якого ви досягли, - це післясередня нетретинна освіта.","Найвищий рівень освіти, якого ви досягли, - це короткий цикл вищої освіти.","Найвищий рівень освіти, якого ви досягли, - це бакалавр або еквівалент.","Найвищий рівень освіти, якого ви досягли, це магістр або еквівалент.","Найвищий рівень освіти, якого ви досягли, - це докторський ступінь або еквівалент.",,,
65,tr,Turkish,Elde ettiğiniz en yüksek eğitim seviyesi okul öncesi eğitim / eğitim yok.,Elde ettiğiniz en yüksek eğitim seviyesi ilköğretimdir.,Elde ettiğiniz en yüksek eğitim seviyesi ortaokul eğitimidir.,Elde ettiğiniz en yüksek eğitim seviyesi ortaöğretimdir.,Elde ettiğiniz en yüksek eğitim seviyesi ortaöğretim sonrası yükseköğretim olmayan eğitimdir.,Elde ettiğiniz en yüksek eğitim seviyesi kısa döngülü yükseköğretimdir.,Elde ettiğiniz en yüksek eğitim seviyesi lisans veya dengi.,Elde ettiğiniz en yüksek eğitim seviyesi yüksek lisans veya eşdeğeridir.,Elde ettiğiniz en yüksek eğitim seviyesi doktora veya eşdeğeridir.,,,
66,ur,Urdu,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح ابتدائی بچپن کی تعلیم ہے / کوئی تعلیم نہیں۔,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح ابتدائی تعلیم ہے۔,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح نچلی ثانوی تعلیم ہے۔,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح اعلیٰ ثانوی تعلیم ہے۔,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح ثانوی کے بعد غیر ثالثی تعلیم ہے۔,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح مختصر مدتی اعلیٰ تعلیم ہے۔,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح بیچلر یا اس کے مساوی ہے۔,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح ماسٹر یا اس کے مساوی ہے۔,آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح ڈاکٹریٹ یا اس کے مساوی ہے۔,,,
67,uz,Uzbek,Siz erishgan eng yuqori ta'lim darajasi - erta bolalik ta'limi / ta'lim yo'q.,Siz erishgan eng yuqori ta'lim darajasi boshlang'ich ta'limdir.,Siz erishgan eng yuqori ta'lim darajasi - o'rta ta'limning quyi bosqichi.,Siz erishgan ta'limning eng yuqori darajasi o'rta ta'limdan keyingi ta'limdir.,Siz erishgan eng yuqori ta'lim darajasi o'rta ta'limdan keyingi oliy bo'lmagan ta'limdir.,Siz erishgan ta'limning eng yuqori darajasi qisqa muddatli oliy ta'limdir.,Siz erishgan eng yuqori ta'lim darajasi bakalavr yoki unga tenglashtirilgan darajadir.,Siz erishgan eng yuqori darajadagi ta'lim magistr yoki unga teng darajadagi ta'limdir.,Siz erishgan ta'limning eng yuqori darajasi doktorlik yoki unga tenglashtirilgan darajadir.,,,
68,vi,Vietnamese,Trình độ học vấn cao nhất mà bạn đã đạt được là giáo dục mầm non / không có giáo dục.,Trình độ học vấn cao nhất mà bạn đã đạt được là giáo dục tiểu học.,Trình độ học vấn cao nhất mà bạn đã đạt được là trung học cơ sở.,Trình độ học vấn cao nhất mà bạn đã đạt được là giáo dục trung học phổ thông.,Trình độ học vấn cao nhất mà bạn đã đạt được là giáo dục sau trung học không thuộc bậc đại học.,Trình độ học vấn cao nhất mà bạn đã đạt được là giáo dục đại học chu kỳ ngắn.,Trình độ học vấn cao nhất mà bạn đã đạt được là cử nhân hoặc tương đương.,Trình độ học vấn cao nhất mà bạn đã đạt được là thạc sĩ hoặc tương đương.,Trình độ học vấn cao nhất mà bạn đã đạt được là tiến sĩ hoặc tương đương.,,,
