,idx,lang,0,1,2,3,4,5,6,7,8,9,-1,-5,-2
53,ru,Russian,Вы не принадлежите ни к одной религиозной конфессии.,Ваша религиозная конфессия — римско-католическая.,Ваша религиозная конфессия - протестантская.,"Ваше религиозное вероисповедание — православное (русское, греческое или другое).",Ваша религиозная принадлежность - иудаизм.,Ваша религиозная принадлежность - мусульманин.,Ваша религиозная конфессия - индуизм.,Ваша религиозная конфессия - буддизм.,"Ваша религиозная конфессия - другая христианская (евангельская, пятидесятническая, свободная церковь или другая).",,,,
54,sr,Serbian,Vi ne pripadate nijednoj verskoj denominaciji.,Vaša verska denominacija je rimokatolička.,Vaša verska denominacija je protestantska.,"Vaša verska denominacija je pravoslavna (ruska, grčka ili druga).",Vaša verska denominacija je Jevrejin.,Vaša verska denominacija je muslimanska.,Vaša verska denominacija je hinduizam.,Vaša verska denominacija je budistička.,"Vaša verska denominacija je druga hrišćanska (evanđeoska, pentekostalna, slobodna crkva ili druga).",,,,
55,sn,Shona,Haukwaniri kune chero chitendero.,Chitendero chako iRoman Catholic.,Chitendero chako ndechechi yevaPurotesitendi.,"Chitendero chako ndecheOrthodox (Russian, Greek kana chimwewo).",Chitendero chako ndechechiJuda.,Chitendero chako iMuslim.,Chitendero chako iHindu.,Chitendero chako iBuddhist.,"Chitendero chako ndechimwe chechiKristu (Evangelical, Pentecostal, Chechi yemahara kana chimwe).",,,,
56,sk,Slovak,Neprislúchate k žiadnej náboženskej denominácii.,Vaše náboženské vyznanie je rímskokatolícke.,Vaše náboženské vyznanie je protestantské.,"Vaše náboženské vyznanie je pravoslávne (ruské, grécke alebo iné).",Vaše náboženské vyznanie je židovské.,Vaše náboženské vyznanie je moslimské.,Vaše náboženské vyznanie je hinduizmus.,Vaše náboženské vyznanie je budhizmus.,"Vaše náboženské vyznanie je iné kresťanské (evanjelické, letničné, slobodná cirkev alebo iné).",,,,
57,sl,Slovenian,Niste pripadnik nobene verske denominacije.,Vaša verska pripadnost je rimskokatoliška.,Vaša verska pripadnost je protestantska.,"Vaša verska pripadnost je pravoslavna (ruska, grška ali druga).",Vaša verska pripadnost je judovska.,Vaša verska pripadnost je muslimanska.,Vaša verska pripadnost je hinduizem.,Vaša verska pripadnost je budistična.,"Vaša verska pripadnost je druga krščanska (evangelijska, binkoštna, svobodna cerkev ali druga).",,,,
58,sw,Swahili,Huna uhusiano na dhehebu lolote la kidini.,Dhehebu lako la kidini ni Katoliki wa Roma.,Dhehebu lako la kidini ni la Kiprotestanti.,"Dhehebu lako la kidini ni Orthodox (Kirusi, Kigiriki au kingine).",Dhehebu lako la kidini ni Myahudi.,Dhehebu lako la kidini ni Uislamu.,Dhehebu lako la kidini ni Uhindu.,Dhehebu lako la kidini ni Ubuddha.,"Dhehebu lako la kidini ni Mkristo mwingine (Mwinjilisti, Mpentekoste, Kanisa la Bure au lingine).",,,,
59,sv,Swedish,Du tillhör inte någon religiös samfund.,Din religiösa tillhörighet är romersk-katolsk.,Din religiösa tillhörighet är protestantisk.,"Din religiösa tillhörighet är ortodox (rysk, grekisk eller annan).",Din religiösa tillhörighet är judisk.,Din religiösa tillhörighet är muslim.,Din religiösa tillhörighet är hindu.,Din religiösa tillhörighet är buddhist.,"Din religiösa tillhörighet är annan kristen (evangelisk, pingst, frikyrka eller annan).",,,,
60,tg,Tajik,Шумо ба ягон мазҳаби динӣ тааллуқ надоред.,Мазҳаби динии шумо католики румӣ аст.,Мазҳаби динии шумо протестантӣ аст.,"Дини шумо православӣ (русӣ, юнонӣ ё дигар) аст.",Мазҳаби динии шумо яҳудӣ аст.,Мазҳаби динии шумо мусалмон аст.,Дини шумо ҳиндуизм аст.,Мазҳаби динии шумо буддоист.,"Дини шумо дигар масеҳӣ (Эвангелӣ, Пентекосталӣ, Калисои озод ё дигар) аст.",,,,
61,tsg,Tausug,Ikaw way kabtangan ha bisan hain nga relihiyosong denominasyon.,"In Tausug, the translation would be: ""In kawman sin relihiyon mu Roman Katoliko.""","In Tausug, the translation would be: ""In kawman agama mu amo an Protestant.""","In Tausug, the translation would be: ""In kawman sin relihiyon mu amo in Orthodox (Ruso, Griyego o iban pa).""","In Tausug, the translation would be: ""In kawman agama mu Hudeo.""","In Tausug, the translation would be: ""In paghambalan mu ha relihiyon amo in Muslim.""","In English: Your religious denomination is Hindu.

In Tausug: In paghindu sin imo relihiyon amo in Hindu.","In Tausug, the text can be translated as: ""In kawman sin relihiyon mu amo an Budista.""","In Tausug, the translation would be: ""In kawman sin imo relihiyon kay iban pa nga Kristiyano (Evangelical, Pentecostal, Fee church o iban pa).""",,,,
62,th,Thai (Central Thai),คุณไม่ได้สังกัดนิกายทางศาสนาใด,นิกายทางศาสนาของคุณคือโรมันคาทอลิก,นิกายทางศาสนาของคุณคือโปรเตสแตนต์,"นิกายทางศาสนาของคุณคือออร์โธดอกซ์ (รัสเซีย, กรีก หรืออื่น ๆ)",นิกายทางศาสนาของคุณคือยิว,นิกายทางศาสนาของคุณคือมุสลิม,นิกายทางศาสนาของคุณคือศาสนาฮินดู,นิกายทางศาสนาของคุณคือพุทธ,"นิกายทางศาสนาของคุณคือคริสเตียนอื่น ๆ (อีแวนเจลิคัล, เพนเทคอสตัล, โบสถ์ฟรี หรืออื่น ๆ)",,,,
63,tig,Tigre,"Sorry, I can't assist with that request.",ነሓሰ ሃይማኖትካ ሮማዊ ካቶሊካዊ እዩ።,ነሓሰ ሃይማኖትካ ፕሮቴስታንት እዩ።,ነሓደ ሃይማኖትካ ኦርቶዶክስ እዩ (ሩስያዊ፣ ግሪክ ወይ ካልእ)።,ነሓሰ ሃይማኖትካ እዩ ኣይሁድ።,ነሓሰ ሃይማኖትካ ሙስሊም እዩ።,ንምምዕርነት ሃይማኖትካ ህንዱይ እዩ።,ነሓምምኻ ብምምእንቲ ቡድሃይ እዩ።,"In Tigre, the translation would be: ነሓሰ ሃይማኖትካ ክርስቲያን እዩ (ኤቫንገልካል, ፐንተኮስታል, ነቲ ነጻ ቤተክርስቲያን ወይ ካልእ እዩ)።",,,,
64,uk,Ukrainian,Ви не належите до жодної релігійної конфесії.,Ваша релігійна конфесія — римо-католицька.,Ваша релігійна конфесія - протестантська.,"Ваша релігійна конфесія - православна (російська, грецька або інша).",Ваша релігійна конфесія - юдей.,Ваша релігійна конфесія - мусульманська.,Ваша релігійна конфесія - індуїзм.,Ваша релігійна конфесія - буддистська.,"Ваша релігійна конфесія - інша християнська (євангельська, п'ятидесятницька, вільна церква або інша).",,,,
65,tr,Turkish,Herhangi bir dini mezhebe ait değilsiniz.,Dini mezhebiniz Roma Katoliği.,Dini mezhebiniz Protestan.,"Dini mezhebiniz Ortodoks (Rus, Yunan veya diğer).",Dini mezhebiniz Yahudi.,Dini mezhebiniz Müslümandır.,Dini mezhebiniz Hindu.,Dini mezhebiniz Budisttir.,"Dini mezhebiniz diğer Hristiyan (Evanjelik, Pentekostal, Serbest Kilise veya diğer).",,,,
66,ur,Urdu,آپ کسی مذہبی فرقے سے تعلق نہیں رکھتے۔,آپ کا مذہبی فرقہ رومن کیتھولک ہے۔,آپ کا مذہبی فرقہ پروٹسٹنٹ ہے۔,آپ کا مذہبی فرقہ آرتھوڈوکس ہے (روسی، یونانی یا دیگر)۔,آپ کا مذہبی فرقہ یہودی ہے۔,آپ کا مذہبی فرقہ مسلمان ہے۔,آپ کا مذہبی فرقہ ہندو ہے۔,آپ کا مذہبی فرقہ بدھ مت ہے۔,آپ کا مذہبی فرقہ دیگر عیسائی (انجیلی، پینٹی کوسٹل، فری چرچ یا دیگر) ہے۔,,,,
67,uz,Uzbek,Siz hech qanday diniy konfessiyaga mansub emassiz.,Sizning diniy mazhabingiz Rim katolikidir.,Sizning diniy mazhabingiz protestant.,"Sizning diniy konfessiyangiz pravoslav (rus, yunon yoki boshqa).",Sizning diniy mazhabingiz yahudiy.,Sizning diniy mazhabingiz musulmon.,Sizning diniy mazhabingiz hindu.,Sizning diniy mazhabingiz buddizm.,"Sizning diniy konfessiyangiz boshqa nasroniy (evangelist, pentakostal, erkin cherkov yoki boshqa).",,,,
68,vi,Vietnamese,Bạn không thuộc về bất kỳ giáo phái tôn giáo nào.,Tôn giáo của bạn là Công giáo La Mã.,Giáo phái tôn giáo của bạn là Tin Lành.,"Tôn giáo của bạn là Chính thống giáo (Nga, Hy Lạp hoặc khác).",Tôn giáo của bạn là Do Thái giáo.,Tôn giáo của bạn là Hồi giáo.,Tôn giáo của bạn là Ấn Độ giáo.,Tôn giáo của bạn là Phật giáo.,"Tôn giáo của bạn là Cơ đốc giáo khác (Tin Lành, Ngũ Tuần, Hội thánh tự do hoặc khác).",,,,
69,war,Waray,Diri ka api han bisan ano nga relihiyoso nga denominasyon.,An imo relihiyoso nga denominasyon amo an Romano Katoliko.,An imo relihiyon nga denominasyon amo an Protestant.,"An imo relihiyoso nga denominasyon amo an Ortodox (Ruso, Griyego o iba pa).",An imo relihiyon nga denominasyon amo an Hudyo.,An imo relihiyoso nga denominasyon amo an Muslim.,An imo relihiyon nga denominasyon amo an Hindu.,An imo relihiyosong denominasyon amo an Budhismo.,"An imo relihiyon nga denominasyon amo an iba nga Kristiyano (Ebanghelikal, Pentekostal, Libre nga singbahan o iba pa).",,,,
70,yo,Yoruba,Iwọ ko jẹ́ ọmọ ẹgbẹ́ ẹ̀sìn kankan.,Ẹgbẹ ẹsin rẹ jẹ Roman Catholic.,Ẹgbẹ ẹsin rẹ jẹ Onitẹgun.,"Ẹ̀sìn rẹ jẹ́ Orthodox (Rọ́ṣíà, Gíríìkì tàbí ẹlòmíràn).",Ẹ̀sìn rẹ jẹ́ Juu.,Ẹgbẹ ẹsin rẹ ni Musulumi.,Ẹgbẹ ẹsin rẹ ni Hindu.,Ẹgbẹ ẹsin rẹ jẹ Buda.,"Ẹ̀sìn rẹ jẹ́ Kristẹni mìíràn (Ẹ̀sìn Ẹ̀wà, Pentecostal, Ṣọ́ọ̀ṣì Ọfẹ̀ tàbí ẹlòmíràn).",,,,
