idx,lang,30,40,100,140,170,200,230,245,250,290,310,350,370,410,460,490,500,520,550,610,630,680,710,720,740,790,810,820,850,860,890,910,950,1030,1040,1100,1240,1260,1270,1290,1360,1400,1490,1530,1540,1580,1600,1610,1670,1695,1700,1730,1740,1770,1850,1880,1890,1930,1980,1990,2000,2020,2030,2100,2103,2120,2126,2170,2180,2210,2220,2230,2270,2280,2310,2316,2390,2420,2480,2500,2530,2560,2657,2670,2720,2740,2760,2790,2810,2820,2840,2870,2920,2930,2940,2969,2981,2987,3020,3030,3100,3200,3234,3390,3420,3490,3510,3520,3530,3540,3550,3570,3580,3600,3610,3630,3670,3720,3780,3810,3830,3840,3860,3870,3890,3920,3992,4040,4060,4075,4110,4130,4150,4160,4190,4200,4210,4220,4230,4260,4280,4295,4310,4360,4365,4370,4380,4400,4410,4420,4430,4450,4460,4470,4520,4580,4610,4620
om,Oromo,,,,Afaan Amaaraa ni dubbattu mana keessan keessatti.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afaan Oromoo mana keessatti dubbattu.,,,,,,,,,,,,,,,,,,,,,,Afaan Somaalee ni dubbattu mana keessatti.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa,"Persian (Farsi, Dari)",,,,,شما در خانه به زبان عربی صحبت می‌کنید.,,,,,,شما در خانه به زبان آذربایجانی صحبت می‌کنید.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شما در خانه به زبان گیلکی صحبت می‌کنید.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شما در خانه به زبان کردی صحبت می‌کنید.,,,,,,شما در خانه به زبان لری صحبت می‌کنید.,,,,,,,,,,,,,,,,,,,,,,شما در خانه به زبان فارسی صحبت می‌کنید.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl,Polish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt,Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Você fala inglês em casa.,,Você fala espanhol em casa.,,,,,Você fala alemão em casa.,,,,,,,,,,,,,,,,,,Você fala japonês em casa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Você fala português em casa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro,"Romanian (Moldavian, Moldovan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vorbești limba maghiară acasă.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vorbești limba română, moldovenească acasă.",Vorbești limba română acasă.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru,Russian,,,,,,,,,Вы говорите на аварском языке дома.,,Вы говорите на азербайджанском языке дома.,,,,,,,,,,,,,,,,,,,Вы говорите на чеченском языке дома.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Вы говорите на памирских языках дома.,,,,,,,,,,,,,,Вы говорите на казахском языке дома.,,,,,Вы говорите на корейском языке дома.,Вы говорите на курдском языке дома.,,,,Вы говорите на лезгинском языке дома.,,,,,,,,,,,,,,,,,,,,,,,,Вы говорите на персидском языке дома.,,,,,,,,,,Вы говорите на русском языке дома.,,,,,,,,,,,,,,,,,,Вы говорите на таджикском языке дома.,,Вы говорите на татарском языке дома.,,,,,,,,,,Вы говорите на турецком языке дома.,,Вы говорите на уйгурском языке дома.,Вы говорите на украинском языке дома.,,,Вы говорите на узбекском языке дома.,,,,,,
sr,Serbian,,,Govoriš albanski jezik kod kuće.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Govoriš mađarski jezik kod kuće.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Govoriš romski jezik kod kuće.,,,,Govoriš srpski jezik kod kuće.,,,,,,Govoriš slovački jezik kod kuće.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn,Shona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unotaura mutauro weKaranga kumba.,Unotaura mutauro weNdau kumba.,Unotaura mutauro weChitoko kumba.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unotaura mutauro weKalanga kumba.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unotaura mutauro wechiNdebele kuchamhembe kumba.,,,,,,,,,,,,,,,,,,,Unotaura mutauro wechiShona kumba.,,,,,,,,,,,,,,,,,,,,,Unotaura mutauro wechiTonga kumba.,,,,,,,,,,,Unotaura mutauro wechiVenda kumba.,,,,,
sk,Slovak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doma hovoríte po česky.,,,,,,,,,,,,,,,,,,,Doma hovoríte po maďarsky.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Doma hovoríte rumunsky, moldavsky, moldavským jazykom.",,Doma hovoríte rómskym jazykom.,,,,,,,,,,Hovoríte doma po slovensky.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl,Slovenian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw,Swahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unazungumza lugha ya Kihindi nyumbani.,,,,,,,,,,,,Unazungumza lugha ya Kalenjin nyumbani.,,Unazungumza lugha ya Kikamba nyumbani.,,,,,,,Unazungumza lugha ya Kikuyu nyumbani.,,Unazungumza lugha ya Kisii nyumbani.,,,,,,,Unazungumza lugha ya Kiluhya nyumbani.,,Unazungumza lugha ya Kijaluo nyumbani.,,,,,,,,,,,Unazungumza lugha ya Kimaasai nyumbani.,Unazungumza lugha ya Kimeru nyumbani.,Unazungumza lugha ya Kimijikenda nyumbani.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unazungumza lugha ya Kisomali nyumbani.,,,,Unazungumza Kiswahili nyumbani.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv,Swedish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tg,Tajik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Шумо дар хона бо забони тоҷикӣ гап мезанед.,,,,,,,,,,,,,,,,,,,,,,,,
tsg,Tausug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiyapa kaw ha sinama-bajaw ha balay.,,,,,,,,,,,,,,,,,,,,Kiyakan ka sin Bahasa Sug ha balay.,,,,,,,,,,,,,,,,,,,Inyuwa kaw mag-Yakan ha balay.,,
th,Thai (Central Thai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,คุณพูดภาษาอีสานที่บ้าน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,คุณพูดภาษามลายูที่บ้าน,,,คุณพูดภาษาจีนกลางที่บ้าน,,,,,,,,,,,คุณพูดภาษาไทยถิ่นเหนือที่บ้าน,,,,,,,,,,,,,,,,,,,,,,,,คุณพูดภาษาไทยใต้ที่บ้าน,,,,,,,,,,,,คุณพูดภาษาไทยที่บ้าน,,,,,,,,,,,,,,,,,,,
tig,Tigre,,,,ነርእዩ ትግርኛ: ንዛሕባ ኣማርኛ ትዛረቡ ኣብ ገዛ።,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ነርሲ ትግርኛ ትነግር ኣብ ገዛ።,,,,,,,,,,,,,,,,,,
uk,Ukrainian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ви розмовляєте російською мовою вдома.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ви розмовляєте українською мовою вдома.,,,,,,,,,
tr,Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evde İngilizce konuşuyorsunuz.,,,,,,,,,Evde Modern Yunanca konuşuyorsunuz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evde Türkçe konuşuyorsunuz.,,,,,,,,,,,,
ur,Urdu,,,,,,,,,,,,,آپ گھر میں بلوچی زبان بولتے ہیں۔,,,,,,,,,آپ گھر میں براہوی زبان بولتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,آپ گھر میں کشمیری زبان بولتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,آپ گھر میں پنجابی زبان بولتے ہیں۔,آپ گھر میں پشتو زبان بولتے ہیں۔,,,,,,,آپ گھر میں سرائیکی زبان بولتے ہیں۔,,,,,آپ گھر میں سندھی زبان بولتے ہیں۔,,,,,,,,,,,,,,,,,,,,,,,,,,,آپ گھر میں اردو زبان بولتے ہیں۔,,,,,,,,
uz,Uzbek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siz uyda qozoq tilida gaplashasiz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siz uyda rus tilida gaplashasiz.,,,,,,,,,,,,,,,,,,Siz uyda tojik tilida gaplashasiz.,,,,,,,,,,,,,Siz uyda turkman tilida gaplashasiz.,,,,,Siz uyda o'zbek tilida gaplashasiz.,,,,,,
vi,Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bạn nói tiếng Mường ở nhà.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bạn nói tiếng Thái ở nhà.,,,,,,,,,,,,,,,Bạn nói tiếng Việt ở nhà.,,,,
war,Waray,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagyayakan ka hin Sinugboanon nga yinaknan ha iyo balay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagyayakan ka hin Winaray ha iyo balay.,,,
yo,Yoruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O nsọ ede Gẹẹsi nile.,,,,,,,,,,,,,,O n sọ èdè Hausa nílé.,,,,O nsọ̀rọ̀ èdè Ìgbò nílé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O nsọ èdè Urhobo nílé.,,,,,,,O nsọ èdè Yorùbá nílé.
